THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.841679,         213.5026,         255.2062,         270.7930,           0.0880
    2,         1.699844,         222.7537,         255.0706,         270.7947,           3.4062
    3,         2.455593,         226.4097,         255.0466,         270.7936,           2.8216
    4,         3.187497,         228.8535,         254.9649,         270.7992,           3.0685
    5,         3.913942,         230.9517,         254.9309,         270.7986,           3.7322
    6,         4.596628,         232.4467,         254.8300,         270.7964,           2.4105
    7,         5.067913,         233.7060,         254.7518,         270.8291,           2.7236
    8,         4.962074,         234.8570,         254.7132,         270.8151,           2.3752
    9,         5.337519,         235.8092,         254.6748,         270.8221,           3.0697
   10,         5.330816,         236.6559,         254.6556,         270.8558,           3.2709
