THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.977150,         208.9707,         250.4257,         265.5146,           0.0807
    2,         1.931231,         218.4338,         250.3381,         265.7142,           3.0739
    3,         2.792800,         222.1968,         250.2429,         265.6332,           2.7037
    4,         3.663593,         224.6757,         250.1496,         265.6033,           2.5430
    5,         4.465706,         226.7802,         250.0735,         265.5847,           2.8377
    6,         5.083320,         228.3121,         249.9724,         265.5544,           2.5343
    7,         5.357338,         229.5800,         249.9477,         265.5490,           2.3368
    8,         5.429051,         230.7033,         249.9387,         265.5258,           1.8790
    9,         5.511265,         231.5638,         249.9119,         265.5275,           3.0672
   10,         5.469345,         232.5727,         249.9304,         265.5345,           2.4050
