THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.985824,         213.4312,         254.2171,         270.2922,           0.0739
    2,         1.948502,         222.7946,         254.1682,         270.2578,           2.9381
    3,         2.822210,         226.4228,         254.1292,         270.2540,           2.7619
    4,         3.693511,         228.9510,         254.0801,         270.2712,           2.2510
    5,         4.474513,         230.9919,         254.0661,         270.2580,           2.5660
    6,         5.028121,         232.5246,         254.0715,         270.2476,           2.5040
    7,         5.278548,         233.8117,         254.1463,         270.2810,           2.3727
    8,         5.360624,         234.7598,         254.2200,         270.2514,           2.1433
    9,         5.404386,         235.6769,         254.2488,         270.2540,           2.2959
   10,         5.353191,         236.4960,         254.2812,         270.2942,           3.1609
