Counter | 	             Matrix | 	MKL_SpMV| 	 MKL_SpMTV| 	 MKL_SymmSpMV| 	 PLAIN_SpMV| 	 
     0 | 	  Anderson-16.5.mtx | 	5.215657 | 	 1.806188 | 	 2.710543 | 	 5.026019 | 	 
     1 | 	       audikw_1.mtx | 	7.166920 | 	 5.952724 | 	 9.574782 | 	 7.167500 | 	 
     2 | 	        bone010.mtx | 	7.164436 | 	 5.856476 | 	 9.226739 | 	 7.157027 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	6.435327 | 	 3.177980 | 	 5.615283 | 	 6.325152 | 	 
     4 | 	     crankseg_1.mtx | 	7.297855 | 	 6.201110 | 	 11.179677 | 	 7.356314 | 	 
     5 | 	   delaunay_n24.mtx | 	4.701179 | 	 1.420229 | 	 2.406429 | 	 4.563223 | 	 
     6 | 	 dielFilterV3real.mtx | 	7.135097 | 	 5.941425 | 	 9.477172 | 	 7.122821 | 	 
     7 | 	     Emilia_923.mtx | 	7.000728 | 	 4.709122 | 	 7.626636 | 	 6.951832 | 	 
     8 | 	             F1.mtx | 	7.261814 | 	 5.925533 | 	 9.504764 | 	 7.242873 | 	 
     9 | 	      Fault_639.mtx | 	6.954289 | 	 5.137065 | 	 7.653619 | 	 6.896896 | 	 
    10 | 	      Flan_1565.mtx | 	7.273237 | 	 5.817229 | 	 9.345739 | 	 7.231591 | 	 
    11 | 	     G3_circuit.mtx | 	4.750522 | 	 1.484990 | 	 2.125865 | 	 4.556504 | 	 
    12 | 	       Geo_1438.mtx | 	6.980648 | 	 4.998662 | 	 7.530067 | 	 6.934038 | 	 
    13 | 	  Graphene-4096.mtx | 	6.298699 | 	 2.631029 | 	 4.539601 | 	 6.158134 | 	 
    14 | 	 Graphene-short-4096.mtx | 	4.477674 | 	 1.045394 | 	 1.882490 | 	 4.226303 | 	 
    15 | 	     gsm_106857.mtx | 	6.658801 | 	 4.685645 | 	 6.950772 | 	 6.711383 | 	 
    16 | 	      Hook_1498.mtx | 	6.874971 | 	 4.856699 | 	 7.511210 | 	 6.828517 | 	 
    17 | 	       HPCG-192.mtx | 	6.631285 | 	 3.723859 | 	 6.555769 | 	 6.568737 | 	 
    18 | 	       inline_1.mtx | 	7.259657 | 	 5.957891 | 	 9.316249 | 	 7.234054 | 	 
    19 | 	      nlpkkt120.mtx | 	6.522366 | 	 3.687040 | 	 6.301783 | 	 6.445462 | 	 
    20 | 	      nlpkkt200.mtx | 	6.471373 | 	 3.705466 | 	 6.489143 | 	 6.431205 | 	 
    21 | 	       offshore.mtx | 	6.412715 | 	 3.470077 | 	 4.766348 | 	 6.300527 | 	 
    22 | 	  parabolic_fem.mtx | 	5.433150 | 	 2.026432 | 	 2.942331 | 	 5.239034 | 	 
    23 | 	           pwtk.mtx | 	7.261922 | 	 5.422467 | 	 8.351045 | 	 7.227651 | 	 
    24 | 	         Serena.mtx | 	6.805161 | 	 4.909632 | 	 7.412426 | 	 6.793482 | 	 
    25 | 	       ship_003.mtx | 	7.237710 | 	 5.844682 | 	 8.820117 | 	 7.221890 | 	 
    26 | 	        Spin-26.mtx | 	5.552821 | 	 2.443812 | 	 4.357376 | 	 5.053657 | 	 
    27 | 	       thermal2.mtx | 	5.399340 | 	 2.002957 | 	 2.749855 | 	 5.204650 | 	 
