Threads, Perf
 1, 1.478165 
 2, 2.947376 
 3, 4.374167 
 4, 5.692038 
 5, 7.005172 
 6, 8.218376 
 7, 9.456779 
 8, 10.737558 
 9, 11.949717 
 10, 13.059750 
 11, 14.242612 
 12, 15.443854 
 13, 16.625333 
 14, 17.797897 
 15, 18.928768 
 16, 19.571423 
 17, 20.410215 
 18, 21.158969 
 19, 21.677939 
 20, 22.364402 
