Threads, Perf
 1, 1.169783 
 2, 2.262233 
 3, 3.128655 
 4, 3.757385 
 5, 4.331939 
 6, 6.169035 
 7, 6.228037 
 8, 7.305617 
 9, 8.675743 
 10, 8.444134 
 11, 8.789359 
 12, 9.281203 
 13, 10.505230 
 14, 11.352412 
 15, 11.719644 
 16, 12.041179 
 17, 12.948998 
 18, 13.803643 
 19, 13.885754 
 20, 16.244159 
