THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.952848,         214.5211,               -1,               -1,               -1
    2,         1.815076,         230.7085,               -1,               -1,               -1
    3,         2.668168,         237.8236,               -1,               -1,               -1
    4,         3.508358,         242.5895,               -1,               -1,               -1
    5,         4.214294,         246.1225,               -1,               -1,               -1
    6,         4.465184,         248.8148,               -1,               -1,               -1
    7,         4.659271,         251.4797,               -1,               -1,               -1
    8,         4.518676,         253.5963,               -1,               -1,               -1
    9,         4.659521,         254.8415,               -1,               -1,               -1
   10,         4.656540,         256.5614,         292.3710,         326.3594,           4.6182
