Counter | 	             Matrix | 	MKL_SpMV| 	 MKL_SpMTV| 	 MKL_SymmSpMV| 	 MKL_SymmSpMV_IE| 	 
     0 | 	  Anderson-16.5.mtx | 	1.406953 | 	 1.130467 | 	 1.070798 | 	 1.491522 | 	 
     1 | 	       audikw_1.mtx | 	1.968203 | 	 1.637298 | 	 2.002982 | 	 2.069962 | 	 
     2 | 	        bone010.mtx | 	1.979133 | 	 1.640973 | 	 2.090665 | 	 2.051823 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	1.660210 | 	 1.482739 | 	 1.418831 | 	 1.507993 | 	 
     4 | 	     crankseg_1.mtx | 	2.095709 | 	 1.701850 | 	 2.266181 | 	 2.131108 | 	 
     5 | 	   delaunay_n24.mtx | 	0.982451 | 	 0.705609 | 	 0.612458 | 	 0.849680 | 	 
     6 | 	 dielFilterV3real.mtx | 	1.929659 | 	 1.604770 | 	 1.942363 | 	 1.947020 | 	 
     7 | 	     Emilia_923.mtx | 	1.931160 | 	 1.580781 | 	 1.877031 | 	 1.898814 | 	 
     8 | 	             F1.mtx | 	2.052871 | 	 1.651739 | 	 1.989661 | 	 2.087736 | 	 
     9 | 	      Fault_639.mtx | 	1.915499 | 	 1.579201 | 	 1.847750 | 	 1.944496 | 	 
    10 | 	      Flan_1565.mtx | 	1.976614 | 	 1.660015 | 	 2.118653 | 	 2.023741 | 	 
    11 | 	 FreeBosonChain-18.mtx | 	1.529448 | 	 1.133650 | 	 1.023448 | 	 1.447736 | 	 
    12 | 	 FreeFermionChain-26.mtx | 	1.517151 | 	 1.126175 | 	 1.061829 | 	 1.399656 | 	 
    13 | 	     G3_circuit.mtx | 	1.147217 | 	 1.101214 | 	 0.817738 | 	 1.374806 | 	 
    14 | 	       Geo_1438.mtx | 	1.903018 | 	 1.579721 | 	 1.875162 | 	 1.871436 | 	 
    15 | 	  Graphene-4096.mtx | 	1.749409 | 	 1.373535 | 	 1.371062 | 	 1.840684 | 	 
    16 | 	     gsm_106857.mtx | 	1.836452 | 	 1.488201 | 	 1.587960 | 	 1.829149 | 	 
    17 | 	      Hook_1498.mtx | 	1.820044 | 	 1.513054 | 	 1.758668 | 	 1.814882 | 	 
    18 | 	       HPCG-192.mtx | 	1.834912 | 	 1.578766 | 	 1.768926 | 	 1.723042 | 	 
    19 | 	     Hubbard-12.mtx | 	1.589435 | 	 1.083124 | 	 1.138285 | 	 1.611612 | 	 
    20 | 	     Hubbard-14.mtx | 	1.577538 | 	 1.127878 | 	 1.203193 | 	 1.544392 | 	 
    21 | 	       inline_1.mtx | 	1.964853 | 	 1.605554 | 	 2.012878 | 	 1.997015 | 	 
    22 | 	      nlpkkt120.mtx | 	1.780123 | 	 1.540200 | 	 1.729088 | 	 1.695008 | 	 
    23 | 	      nlpkkt200.mtx | 	1.786875 | 	 1.520625 | 	 1.724718 | 	 1.705235 | 	 
    24 | 	       offshore.mtx | 	1.495314 | 	 1.211551 | 	 1.002062 | 	 1.448217 | 	 
    25 | 	  parabolic_fem.mtx | 	1.546357 | 	 1.160170 | 	 1.096500 | 	 1.670437 | 	 
    26 | 	           pwtk.mtx | 	2.133945 | 	 1.705065 | 	 2.037972 | 	 2.110543 | 	 
    27 | 	         Serena.mtx | 	1.845663 | 	 1.527703 | 	 1.795279 | 	 1.857667 | 	 
    28 | 	       ship_003.mtx | 	2.085946 | 	 1.705238 | 	 2.083665 | 	 2.081079 | 	 
    29 | 	        Spin-26.mtx | 	1.554899 | 	 1.156118 | 	 1.108727 | 	 1.591307 | 	 
    30 | 	       thermal2.mtx | 	1.231457 | 	 0.860891 | 	 0.820500 | 	 1.295314 | 	 
