  THREAD 	    eps_1 	    eps_2 	      Eff 	 maxDepth 	       Time
       1 	       50 	       50 	 1.000000 	        1 	 93451.313825
       2 	       50 	       50 	 0.979238 	        1 	 90222.401043
       3 	       50 	       50 	 0.972900 	        1 	 89610.477353
       4 	       50 	       50 	 0.969714 	        1 	 89191.240725
       5 	       50 	       50 	 0.978490 	        1 	 88251.402641
       6 	       50 	       50 	 0.973458 	        1 	 88225.593027
       7 	       50 	       50 	 0.957651 	        1 	 88046.462998
       8 	       50 	       50 	 0.947411 	        1 	 88005.900192
       9 	       50 	       50 	 0.959621 	        1 	 87830.736919
      10 	       50 	       50 	 0.944448 	        1 	 87899.322306
      11 	       50 	       50 	 0.921072 	        1 	 88356.389029
      12 	       50 	       50 	 0.914928 	        1 	 88027.456263
      13 	       50 	       50 	 0.910325 	        1 	 87773.831034
      14 	       50 	       50 	 0.892081 	        1 	 87938.657652
      15 	       50 	       50 	 0.934279 	        1 	 88324.372800
      16 	       50 	       50 	 0.913634 	        1 	 88287.722191
      17 	       50 	       50 	 0.907452 	        1 	 88082.700953
      18 	       50 	       50 	 0.893829 	        1 	 88423.476029
      19 	       50 	       50 	 0.868165 	        1 	 87701.608999
      20 	       50 	       50 	 0.871052 	        1 	 88407.267360
      25 	       50 	       50 	 0.878504 	        1 	 89396.981979
      30 	       50 	       50 	 0.748836 	        2 	 90240.402741
      35 	       50 	       50 	 0.734536 	        2 	 91217.942113
      40 	       50 	       50 	 0.711578 	        2 	 92165.022662
      45 	       50 	       50 	 0.753473 	        2 	 94661.723629
      50 	       50 	       50 	 0.735292 	        2 	 96626.500357
      60 	       50 	       50 	 0.748235 	        2 	 98303.402511
      70 	       50 	       50 	 0.734649 	        2 	 104359.137566
      80 	       50 	       50 	 0.699134 	        2 	 108559.608663
      90 	       50 	       50 	 0.679883 	        2 	 115166.804770
     100 	       50 	       50 	 0.709953 	        2 	 119068.186706
     120 	       50 	       50 	 0.717171 	        2 	 125702.375992
     140 	       50 	       50 	 0.722044 	        2 	 131579.273753
     160 	       50 	       50 	 0.678345 	        2 	 136174.035652
     180 	       50 	       50 	 0.660623 	        2 	 143384.176092
     200 	       50 	       50 	 0.718152 	        2 	 146312.245012
