THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.217017,         225.8167,               -1,               -1,               -1
    2,         2.212610,         258.6370,               -1,               -1,               -1
    3,         2.815912,         281.3456,               -1,               -1,               -1
    4,         3.369320,         318.7458,               -1,               -1,               -1
    5,         3.884405,         340.3716,               -1,               -1,               -1
    6,         4.149228,         378.6267,               -1,               -1,               -1
    7,         4.464464,         400.9940,               -1,               -1,               -1
    8,         4.540459,         439.8642,               -1,               -1,               -1
    9,         4.524595,         440.3446,               -1,               -1,               -1
   10,         4.532349,         440.4635,               -1,               -1,               -1
   11,         4.392155,         439.9560,               -1,               -1,               -1
   12,         4.536422,         439.9373,               -1,               -1,               -1
   13,         4.507662,         439.9072,               -1,               -1,               -1
   14,         4.517549,         440.0159,               -1,               -1,               -1
   15,         4.542923,         440.1860,               -1,               -1,               -1
   16,         4.449880,         440.1450,               -1,               -1,               -1
   17,         4.502764,         440.0866,               -1,               -1,               -1
   18,         4.529043,         440.6811,               -1,               -1,               -1
   19,         4.516654,         439.9162,               -1,               -1,               -1
   20,         4.506292,         440.0032,         706.7891,         582.0854,               -1
