Threads,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28,mat_29,mat_30,mat_31,mat_32
11,0.917452,0.808894,0.911088,0.967118,0.448968,0.988345,0.900682,0.87629,0.82833,0.844832,0.946694,0.814723,0.857406,0.983335,0.852381,0.996967,0.827047,0.894811,0.899282,0.790556,0.829751,0.921072,0.847324,0.901783,0.827628,0.992593,0.967273,0.836965,0.84565,0.90193,0.987444,
12,0.912961,0.853952,0.896403,0.984795,0.515201,0.989396,0.852128,0.858677,0.796211,0.84341,0.904855,0.851798,0.809372,0.974202,0.892449,0.997188,0.821523,0.887036,0.909839,0.822825,0.806057,0.914928,0.80611,0.89909,0.84935,0.988891,0.954876,0.881683,0.821909,0.835884,0.986981,
13,0.927379,0.713616,0.871875,0.965618,0.389066,0.98797,0.849532,0.87742,0.762755,0.847101,0.908231,0.859421,0.844766,0.970276,0.862555,0.997614,0.843823,0.860015,0.869203,0.746817,0.812604,0.910325,0.744102,0.840827,0.860331,0.995106,0.942426,0.83913,0.780698,0.858198,0.987642,
14,0.876619,0.884569,0.896061,0.983391,0.33601,0.986999,0.814395,0.854366,0.607548,0.840354,0.914417,0.830485,0.854876,0.957655,0.847244,0.99718,0.864118,0.918548,0.872968,0.824665,0.848492,0.892081,0.690952,0.836883,0.836513,0.986912,0.931178,0.868368,0.830454,0.885081,0.98631,
15,0.912503,0.792405,0.891729,0.959463,0.428569,0.987377,0.789282,0.860962,0.765281,0.825614,0.892444,0.756235,0.798712,0.968743,0.855295,0.996702,0.857476,0.87438,0.862543,0.834079,0.814136,0.934279,0.854,0.800909,0.741566,0.986104,0.907311,0.829725,0.762205,0.850236,0.983987,
16,0.889951,0.814159,0.884181,0.965694,0.368455,0.98261,0.826814,0.893141,0.689081,0.804764,0.903519,0.829793,0.769196,0.977811,0.857202,0.995756,0.843106,0.849081,0.835865,0.852644,0.845782,0.913634,0.827515,0.838433,0.812491,0.989137,0.898349,0.835633,0.860244,0.836657,0.981531,
17,0.847615,0.781709,0.857965,0.954154,0.347324,0.987301,0.778486,0.845156,0.652313,0.828298,0.868103,0.800656,0.79027,0.957323,0.878249,0.995465,0.854654,0.847877,0.849506,0.764439,0.841572,0.907452,0.717105,0.848983,0.764697,0.982401,0.958408,0.832332,0.798269,0.857397,0.982254,
18,0.875141,0.847889,0.853526,0.967754,0.378133,0.988318,0.77958,0.85604,0.692764,0.817926,0.854849,0.720549,0.817339,0.940616,0.852534,0.994624,0.824654,0.848535,0.847474,0.804792,0.827675,0.893829,0.691655,0.85001,0.80747,0.991498,0.886862,0.883386,0.803358,0.864969,0.977992,
19,0.891657,0.807809,0.844666,0.927277,0.221995,0.979547,0.808719,0.839356,0.781677,0.865811,0.865737,0.868865,0.723338,0.946199,0.845478,0.995206,0.81908,0.850714,0.847938,0.775487,0.831981,0.868165,0.773035,0.820638,0.766,0.985472,0.902887,0.826801,0.75569,0.801289,0.980922,
20,0.801272,0.818966,0.82098,0.957581,0.287698,0.980163,0.744839,0.854186,0.705473,0.849087,0.851616,0.766968,0.752634,0.971173,0.834529,0.994689,0.813882,0.861378,0.849942,0.826405,0.794269,0.871052,0.622489,0.791205,0.739634,0.983365,0.887505,0.748182,0.856034,0.84,0.978475,
25,0.853889,0.753991,0.828205,0.940324,0.122034,0.977433,0.804394,0.82221,0.653626,0.796536,0.851033,0.808364,0.710603,0.952997,0.783203,0.993197,0.831905,0.816017,0.862883,0.776372,0.716636,0.878504,0.828884,0.632964,0.796654,0.991001,0.867076,0.805249,0.724571,0.835108,0.973441,
30,0.844427,0.836898,0.846461,0.962061,0.207808,0.972019,0.762087,0.781253,0.405037,0.839678,0.830782,0.813177,0.81219,0.914838,0.830034,0.990897,0.813523,0.783133,0.846585,0.674229,0.761373,0.833477,0.800087,0.766216,0.701469,0.97375,0.832066,0.760949,0.748911,0.791846,0.973133,
35,0.797363,0.696873,0.812553,0.869202,0.14739,0.964565,0.785689,0.771953,0.542625,0.801347,0.831954,0.777808,0.719612,0.922613,0.81174,0.988039,0.766909,0.7848,0.843808,0.764642,0.794185,0.835905,0.869753,0.833046,0.766,0.968076,0.863076,0.820797,0.704322,0.82566,0.966824,
40,0.818688,0.824418,0.752083,0.882532,0.112617,0.9584,0.749486,0.840376,0.579944,0.767164,0.841396,0.756491,0.743263,0.922176,0.848654,0.987869,0.761322,0.801922,0.832591,0.793767,0.750801,0.831867,0.843091,0.781448,0.768788,0.983586,0.741722,0.715141,0.640809,0.779426,0.969162,
45,0.849558,0.711195,0.828957,0.859388,0.111978,0.954569,0.732126,0.800895,0.519927,0.807761,0.754823,0.696573,0.734622,0.916925,0.834761,0.985885,0.743574,0.761597,0.849985,0.648554,0.767259,0.836217,0.816716,0.791416,0.76556,0.980532,0.836088,0.76292,0.63859,0.77348,0.960033,
50,0.835619,0.798692,0.816942,0.895553,0.091388,0.94908,0.768894,0.85227,0.556701,0.767883,0.812458,0.714534,0.690354,0.853946,0.760343,0.985084,0.796764,0.71585,0.852183,0.738944,0.702916,0.82569,0.833545,0.791959,0.736468,0.956045,0.828428,0.770468,0.613858,0.739522,0.958661,
60,0.810212,0.738415,0.788278,0.794604,0.092697,0.932291,0.734716,0.790099,0.360504,0.788469,0.752016,0.74124,0.735238,0.842166,0.852579,0.98048,0.725454,0.833235,0.786139,0.714553,0.741754,0.799543,0.798917,0.790748,0.698921,0.952789,0.801936,0.757815,0.552505,0.766165,0.942982,
70,0.828338,0.704245,0.798265,0.792578,0.09826,0.918628,0.632411,0.749384,0.192963,0.75915,0.766211,0.66853,0.694997,0.8458,0.768079,0.978583,0.712769,0.800431,0.835532,0.644617,0.706104,0.764625,0.612334,0.719862,0.616695,0.971142,0.525066,0.742516,0.586698,0.751003,0.928277,
80,0.840528,0.703159,0.799235,0.540834,0.105456,0.912146,0.603983,0.746584,0.391811,0.705827,0.649206,0.654756,0.656299,0.824911,0.822669,0.975129,0.697734,0.795129,0.818685,0.651737,0.690349,0.718029,0.81206,0.826823,0.685676,0.953134,0.809743,0.718375,0.417105,0.747243,0.93641,
90,0.81372,0.660712,0.757086,0.854851,0.078322,0.904696,0.637511,0.7488,0.252907,0.718474,0.755906,0.675866,0.655011,0.837044,0.781708,0.970904,0.701521,0.846412,0.828486,0.673894,0.746897,0.697421,0.841673,0.823293,0.670043,0.936748,0.811976,0.644788,0.477589,0.771691,0.923266,
100,0.809586,0.637933,0.719066,0.803171,0.047735,0.890421,0.639207,0.785581,0.090052,0.759936,0.607923,0.642607,0.692925,0.81848,0.809662,0.969955,0.648028,0.779003,0.852285,0.6156,0.71705,0.650035,0.792802,0.8418,0.63456,0.897006,0.773857,0.711542,0.478491,0.693952,0.918783,
