  SIZE(KB), Bandwidth(MB/s)
        12,     541528.9600
        17,     607540.5800
        22,     652894.4100
        27,     689371.9000
        32,     695821.8000
        37,     720107.2700
        42,     732283.2800
        62,     751309.9400
        82,     768751.0800
       102,     766367.7100
       122,     777112.6100
       142,     792787.6600
       162,     789074.0400
       182,     797813.6900
       202,     790049.1200
       222,     800284.3800
       242,     800323.2100
       262,     797918.6300
       282,     800781.6900
       302,     688679.1000
       322,     672741.4600
       342,     434347.3500
       362,     315274.5500
       382,     300332.9600
       402,     299030.7400
       422,     300823.1800
       442,     298435.8200
       462,     300832.4500
       482,     300149.3800
       502,     301304.3400
       522,     300400.8800
       542,     301158.3000
       562,     299351.0400
       582,     298232.3600
       602,     298124.8500
       622,     297843.5200
       642,     300350.4700
       662,     301421.6700
       682,     302656.4000
       702,     300188.0900
       722,     298137.8600
       742,     301966.2600
       762,     299729.9900
       782,     300212.3600
       802,     298340.5200
       852,     301240.5000
       902,     301283.7200
       952,     301078.4200
      1002,     301511.3400
      1052,     298441.9700
      1102,     300844.8200
      1152,     290851.5200
      1202,     301376.5100
      1252,     296601.2600
      1302,     287350.0900
      1352,     289579.0600
      1402,     299295.2000
      1452,     286607.5100
      1502,     278254.5400
      1552,     282174.4500
      1602,     284245.7800
      1652,     287725.6300
      1702,     287670.5900
      1752,     286283.1900
      1802,     282267.6500
      1852,     282534.1900
      1902,     282231.6400
      1952,     277632.5700
      2002,     279877.4300
      2052,     271509.5200
      2102,     271295.2200
      2152,     269735.5400
      2202,     267988.9600
      2252,     267685.9400
      2302,     267571.0400
      2352,     280725.3600
      2402,     258385.7400
      2452,     249092.5400
      2502,     257068.7300
      2552,     268087.7700
      2602,     255404.3000
      2652,     254942.8700
      2702,     253709.9300
      2752,     260993.9500
      2802,     244096.6000
      2852,     245558.4500
      2902,     247364.7900
      2952,     244411.7600
      3002,     245497.9500
      3052,     251001.3400
      3102,     236632.3300
      3152,     245484.8600
      3202,     241691.6500
      3252,     238918.6300
      3302,     239599.2400
      3352,     238097.8600
      3402,     235349.5600
      3452,     234093.3500
      3502,     232165.8100
      3552,     230618.6500
      3602,     229173.9500
      3652,     229023.7800
      3702,     230839.8000
      3752,     228201.0700
      3802,     227878.3100
      3852,     228958.9700
      3902,     227227.0900
      3952,     226838.6100
      4002,     226762.8900
      4052,     227119.1300
      4102,     227723.0900
      4152,     226146.5900
      4202,     226716.9200
      4252,     226831.1900
      4302,     225525.8400
      4352,     221710.0000
      4402,     224505.5400
      4452,     225920.9200
      4502,     226304.6200
      4552,     226211.6200
      4602,     226020.5200
      4652,     225479.1500
      4702,     226113.6100
      4752,     224847.7900
      4802,     223595.1000
      4852,     225444.1900
      4902,     224757.7400
      4952,     226021.0100
      5002,     223348.7500
      5502,     223742.8700
      6002,     224404.3800
      6502,     222487.7300
      7002,     224999.9700
      7502,     225075.1600
      8002,     224602.1900
      8502,     226332.2200
      9002,     224217.6100
      9502,     223227.9600
     10002,     224225.6300
     10502,     224189.3300
     11002,     223959.0800
     11502,     224793.4300
     12002,     224240.6500
     12502,     224126.1700
     13002,     226457.4300
     13502,     223597.0500
     14002,     224087.3500
     14502,     223903.8800
     15002,     224934.7600
     15502,     222125.3600
     16002,     226398.3000
     16502,     225134.1100
     17002,     224793.6500
     17502,     226589.9900
     18002,     225927.0000
     18502,     222943.9200
     19002,     224518.7500
     19502,     226506.5900
     20002,     220629.3300
     20502,     225410.0100
     21002,     224081.9000
     21502,     221995.0100
     22002,     209722.6400
     22502,     205424.2300
     23002,     212871.1400
     23502,     197630.3400
     24002,     188640.4700
     24502,     187857.8800
     25002,     174044.2900
     25502,     170355.3900
     26002,     165000.2800
     26502,     155792.3900
     27002,     153372.8200
     27502,     148463.7500
     28002,     143538.9600
     28502,     145514.3300
     29002,     138357.6900
     29502,     142333.2700
     30002,     139158.5100
     35002,     121893.8300
     40002,      97966.6600
     45002,      72421.1700
     50002,      58721.8000
     55002,      47645.3100
     60002,      47522.1900
     65002,      47216.1100
     70002,      47131.4700
     75002,      47153.9700
     80002,      47091.2600
     85002,      47162.7600
     90002,      47065.8900
     95002,      47102.8300
    100002,      47099.1900
    150002,      47046.7500
    200002,      47038.0700
    250002,      47135.8000
    300002,      47156.4200
    350002,      47177.4200
    400002,      47177.2500
    450002,      47190.7100
    500002,      47202.8600
    550002,      47218.2200
    600002,      47200.9000
    650002,      47194.8100
    700002,      47174.9200
    750002,      47201.4000
    800002,      47069.7500
    850002,      47069.9300
    900002,      47206.0800
    950002,      47195.4700
   1000002,      47190.5600
   1050002,      47184.3000
   1100002,      47179.9900
   1150002,      47121.0800
   1200002,      47157.8900
   1250002,      47201.2200
   1300002,      47198.9400
   1350002,      47188.4200
   1400002,      47202.1800
   1450002,      47154.9900
   1500002,      47188.1000
   1550002,      47213.0500
   1600002,      47171.4100
   1650002,      47207.1400
   1700002,      47202.8400
   1750002,      47195.3700
   1800002,      47152.0900
   1850002,      47092.9300
   1900002,      47192.7100
   1950002,      47221.4100
