  THREAD 	    eps_1 	    eps_2 	      Eff 	 maxDepth 	       Time
       1 	       80 	       80 	 1.000000 	        1 	 31608.147825
       2 	       80 	       80 	 0.984268 	        1 	 30811.701006
       3 	       80 	       80 	 0.901892 	        1 	 30597.229129
       4 	       80 	       80 	 0.867004 	        1 	 30708.196422
       5 	       80 	       80 	 0.899634 	        1 	 30380.408203
       6 	       80 	       80 	 0.835691 	        1 	 30529.565937
       7 	       80 	       80 	 0.668744 	        2 	 30581.545208
       8 	       80 	       80 	 0.758155 	        2 	 30822.211491
       9 	       80 	       80 	 0.733022 	        2 	 30997.738526
      10 	       80 	       80 	 0.548499 	        2 	 30966.059676
      11 	       80 	       80 	 0.448968 	        3 	 31581.398663
      12 	       80 	       80 	 0.515201 	        3 	 31262.454115
      13 	       80 	       80 	 0.389066 	        6 	 32979.072446
      14 	       80 	       80 	 0.336010 	        4 	 32075.543502
      15 	       80 	       80 	 0.428569 	        3 	 32117.995790
      16 	       80 	       80 	 0.368455 	        4 	 32332.953511
      17 	       80 	       80 	 0.347324 	        3 	 32187.654320
      18 	       80 	       80 	 0.378133 	        5 	 33130.040263
      19 	       80 	       80 	 0.221995 	        3 	 32478.706674
      20 	       80 	       80 	 0.287698 	        5 	 33318.917631
      25 	       80 	       80 	 0.122034 	        6 	 41320.877773
      30 	       80 	       80 	 0.207808 	        5 	 41568.922528
      35 	       80 	       80 	 0.147390 	        5 	 40780.483793
      40 	       80 	       80 	 0.112617 	        6 	 44449.101289
      45 	       80 	       80 	 0.111978 	        5 	 45404.215284
      50 	       80 	       80 	 0.091388 	        5 	 52090.299105
      60 	       80 	       80 	 0.092697 	        6 	 59320.385245
      70 	       80 	       80 	 0.098260 	        6 	 62567.000115
      80 	       80 	       80 	 0.105456 	        5 	 70302.266463
      90 	       80 	       80 	 0.078322 	        6 	 73628.432828
     100 	       80 	       80 	 0.047735 	        5 	 49580.194135
     120 	       80 	       80 	 0.045784 	        5 	 71938.558834
     140 	       80 	       80 	 0.042575 	        6 	 75579.965021
     160 	       80 	       80 	 0.035717 	        5 	 74088.480452
     180 	       80 	       80 	 0.020125 	        6 	 76117.853168
     200 	       80 	       80 	 0.022523 	        6 	 73922.869732
