THREAD             spmv         spmv_mkl            spmtv        symm_spmv               gs             kacz
    1         1.749806         1.881185         1.877525         2.885821         1.796109         2.559079
    2         3.401768         3.636682         3.608969         5.310820         3.471110         4.147240
    3         4.950844         5.297049         5.241055         7.823499         5.052887         7.190299
    4         6.411418         6.818020         6.813126        10.115514         6.554614         9.368074
    5         7.794266         8.290141         8.226135        12.391394         7.904371        11.449256
    6         9.167987         9.725284         9.680874        14.521042         9.332142        13.657015
    7        10.455290        11.017119        10.976102        16.551100        10.583029        15.723240
    8        11.811158        12.370639        12.172567        18.532492        11.816729        17.720960
    9        12.701871        13.192281        13.173554        19.961537        12.847099        19.814581
   10        13.282939        13.771276        13.718948        20.969201        13.411126        21.789006
   11        13.664548        14.121726        14.256283        21.650769        13.864615        23.863455
   12        13.979975        14.445564        14.432879        22.156289        14.087069        25.027132
   13        14.379506        14.856190        14.802577        22.807501        14.451835        26.003073
   14        14.566589        15.004774        14.971166        23.423068        14.613947        26.900948
   15        14.699026        15.170134        15.255985        23.401531        14.884912        27.616013
   16        14.717891        15.169715        15.194638        23.606031        14.873081        27.975893
   17        14.754290        15.180435        15.161544        23.872358        14.793118        28.256536
   18        14.659561        15.091416        15.214152        24.082361        14.864383        28.637567
   19        14.719150        15.129433        15.029211        24.093850        14.703219        28.400405
   20        14.861185        15.236464        15.023529        23.656387        14.694272        28.641063
