Threads, Perf
 1, 0.754190 
 2, 1.482706 
 3, 2.182058 
 4, 2.876648 
 5, 3.546680 
 6, 4.203691 
 7, 4.922737 
 8, 5.560985 
 9, 6.242126 
 10, 6.940275 
 11, 7.539315 
 12, 8.179978 
 13, 8.802660 
 14, 9.277857 
 15, 9.743005 
 16, 10.466875 
 17, 10.824631 
 18, 11.225181 
 19, 11.516778 
 20, 11.771260 
