THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.617907,         137.4710,               -1,               -1,               -1
    2,         3.066345,         139.3733,               -1,               -1,               -1
    3,         4.542940,         147.9324,               -1,               -1,               -1
    4,         6.076130,         149.5023,               -1,               -1,               -1
    5,         7.622644,         144.4504,               -1,               -1,               -1
    6,         8.893792,         145.5208,               -1,               -1,               -1
    7,        10.012557,         150.0076,               -1,               -1,               -1
    8,        10.878624,         149.8811,               -1,               -1,               -1
    9,        12.232736,         154.7598,               -1,               -1,               -1
   10,        12.941848,         155.4467,               -1,               -1,               -1
   11,        14.776159,         155.9444,               -1,               -1,               -1
   12,        14.923289,         153.0803,               -1,               -1,               -1
   13,        15.993361,         153.9370,               -1,               -1,               -1
   14,        16.750634,         155.0511,               -1,               -1,               -1
   15,        15.239382,         158.0042,               -1,               -1,               -1
   16,        16.733713,         157.3680,               -1,               -1,               -1
   17,        16.750439,         157.0133,               -1,               -1,               -1
   18,        16.877950,         156.7922,               -1,               -1,               -1
   19,        16.425352,         157.2022,               -1,               -1,               -1
   20,        16.700673,         158.4941,         293.3939,         226.4127,               -1
