THREAD             spmv         spmv_mkl            spmtv        symm_spmv               gs             kacz
    1         2.261413         2.295266         2.284563         3.932699         2.252778         2.828904
    2         4.183299         4.245566         4.227426         7.317867         4.162985         5.375921
    3         6.009423         6.077452         5.984557        10.333837         5.890786         7.551159
    4         7.695929         7.816435         7.281090        12.291786         7.122025         9.177624
    5         9.299171         9.425140         9.246352        15.874579         8.925038        11.634545
    6        10.770421        10.882814        10.425112        17.827538        10.078224        13.242938
    7        12.354914        12.490976         9.490538        16.328294         9.344738        11.909847
    8        13.854422        14.042296        11.068969        18.822013        10.817707        13.883866
    9        14.533670        14.677809        12.615795        22.181615        12.371171        16.039137
   10        16.300037        16.461415        12.766056        21.210009        12.514282        16.043870
   11        16.568160        16.750265         9.953790        17.664292         9.916760        12.409915
   12        17.380343        17.571279        11.251915        19.589756        11.256383        14.406130
   13        18.449337        18.725735         9.370283        16.007533         9.480320        11.428335
   14        18.957641        19.224544         8.146274        13.806806         8.294817         9.816010
   15        19.401255        19.702817        10.479654        18.094652        10.430364        12.839581
   16        19.776541        20.167525        10.270821        17.738012        10.245691        12.620043
   17        20.359913        20.751572        10.012995        17.472472        10.182000        12.001047
   18        20.464662        20.831719        11.074845        19.327482        11.259575        13.368572
   19        20.650434        21.031770         7.082545        12.180490         7.282050         8.559908
   20        20.686837        21.007282         9.816176        16.980285        10.018993        11.701346
