THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.413749,         441.2868,               -1,               -1,               -1
    2,         0.778785,         486.7312,               -1,               -1,               -1
    3,         1.027617,         519.5149,               -1,               -1,               -1
    4,         1.348801,         542.9205,               -1,               -1,               -1
    5,         1.601646,         552.4884,               -1,               -1,               -1
    6,         1.851327,         556.2364,               -1,               -1,               -1
    7,         2.215247,         562.6267,               -1,               -1,               -1
    8,         2.472015,         563.7866,               -1,               -1,               -1
    9,         2.575268,         558.9481,               -1,               -1,               -1
   10,         2.922922,         556.8016,               -1,               -1,               -1
   11,         3.115292,         561.7816,               -1,               -1,               -1
   12,         3.251987,         550.7982,               -1,               -1,               -1
   13,         3.352990,         549.1453,               -1,               -1,               -1
   14,         3.590528,         550.0916,               -1,               -1,               -1
   15,         3.684184,         548.0391,               -1,               -1,               -1
   16,         3.768796,         544.7533,               -1,               -1,               -1
   17,         3.922504,         549.7599,               -1,               -1,               -1
   18,         3.969362,         542.2355,               -1,               -1,               -1
   19,         3.776044,         543.8846,               -1,               -1,               -1
   20,         4.149915,         541.3004,         961.7258,         963.5559,               -1
