THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.914033,          11.1551,          15.0128,          17.1390,           0.0119
    2,         1.619929,          13.6733,          16.6072,          19.2222,           0.3577
    3,         1.996786,          14.8888,          17.4396,          20.4393,           0.4956
    4,         2.298816,          16.8359,          19.0789,          22.5268,           0.5208
    5,         2.559529,          17.9044,          19.9247,          23.7836,           0.7253
    6,         2.550120,          19.7958,          21.5821,          25.8507,           0.7863
    7,         2.530825,          20.8719,          22.4415,          27.1242,           0.9474
    8,         2.389134,          22.7187,          24.0769,          29.1704,           1.0436
    9,         2.387034,          22.7345,          24.0769,          29.1709,           1.2285
   10,         2.388967,          22.7246,          24.0796,          29.1714,           1.1082
