THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.883614,           6.6944,           9.7035,          11.4464,           0.0044
    2,         1.573805,           7.9134,          10.5105,          12.4412,           0.3604
    3,         2.215179,           8.8549,          11.0669,          13.1575,           0.2860
    4,         2.758274,           9.5554,          11.5611,          13.8591,           0.2451
    5,         3.154034,          10.1530,          12.0159,          14.5050,           0.2547
    6,         3.603809,          10.7136,          12.4650,          15.1621,           0.2247
    7,         3.883322,          11.2621,          12.8935,          15.8154,           0.2279
    8,         4.056677,          11.7807,          13.3365,          16.4443,           0.2495
    9,         4.008145,          11.7821,          13.3314,          16.4482,           0.2909
   10,         4.041369,          11.7813,          13.3371,          16.4422,           0.3065
