Id | Matrix | NNZR | SymmSpMV measured alpha | SymmSpMV opt alpha | SymmSpMV SpMV alpha 
4|crankseg_1                |201.011|37.467821035188415|37.467788004832|37.467788004832
25|ship_003                  |66.427|35.851973903808435|35.85199347145611|35.85199347145611
23|pwtk                      |53.389|35.304185482391006|35.30417628565139|35.30417628565139
21|offshore                  |16.331|30.201212426199582|30.20115769854378|30.20115769854378
8|F1                        |78.062|34.03975592170131|36.19680236955882|35.576373509803396
18|inline_1                  |73.09|31.341638554379703|36.061920683963265|31.77903780739968
22|parabolic_fem             |6.988|24.197426270643927|24.197134127067752|24.197134127067752
15|gsm_106857                |36.914|34.132154737070024|34.132157003961105|34.132157003961105
9|Fault_639                 |44.794|32.24996046983436|34.788217885878105|32.530149052822914
7|Emilia_923                |44.419|28.997431933741016|34.76167499683875|29.22837381545955
1|audikw_1                  |82.285|29.008041555231586|36.299387921396224|29.966152353646113
2|bone010                   |72.632|29.11716671941068|36.048634289217354|30.092085864787666
6|dielFilterV3real          |80.979|28.48354715618585|36.26873050008271|29.870626146722017
27|thermal2                  |6.987|24.19598370828887|24.196016964779638|24.196016964779638
24|Serena                    |46.381|27.598818685423954|34.89631299513907|29.248355366988566
12|Geo_1438                  |43.921|27.60950248602838|34.72580547582396|29.852191472674146
16|Hook_1498                 |40.665|27.37761544023837|34.4722831756538|28.583386333206803
10|Flan_1565                 |75.03|28.87732441334738|36.1165269114792|31.729645371437805
11|G3_circuit                |4.832|21.293955821929345|21.294132588265178|21.294132588265178
0|Anderson-16.5             |7|22.938936550901495|24.210526315789473|22.137807759982604
19|nlpkkt120                 |27.339|24.65850056358395|32.91338861003666|25.174605774672717
3|channel-500x100x100-b050  |17.776|24.111193475848093|30.702422932544646|24.06769955024155
17|HPCG-192                  |26.72|25.28320447161289|32.809798270893374|26.801861488163638
26|Spin-26                   |14|19.12829106406081|29.237288135593218|18.640674925810295
20|nlpkkt200                 |27.6|24.30914431812|32.9559118236473|24.883940114316736
5|delaunay_n24              |6|18.695319384101396|23|13.8978222333687
13|Graphene-4096             |12.995|24.69259765674899|28.747432347950344|25.017020055213678
14|Graphene-short-4096       |3.999|19.120795826479952|19.825671621202197|17.345910759016135
