Id,	 Matrix,			NNZR,	Measured alpha,	Alpha from SpMV,	Deviation(%)
0,	Anderson-16.5             ,	7,	0.293885,	0.3241221627635573,	10.288773759653372
1,	audikw_1                  ,	82.285,	0.156734,	0.1356082112462218,	-13.478753017072373
2,	bone010                   ,	72.632,	0.153733,	0.13240678498366854,	-13.87224279519132
3,	channel-500x100x100-b050  ,	17.776,	0.277175,	0.2786115538419711,	0.5182840595187557
4,	crankseg_1                ,	201.011,0.009900,	0.00990045096554148,	0.004555207489688531
5,	delaunay_n24              ,	6,	0.477593,	0.8314939058224964,	74.1009407220157
6,	dielFilterV3real          ,	80.979,	0.168837,	0.13758992392349656,	-18.507244310490847
7,	Emilia_923                ,	44.419,	0.153639,	0.14841642002347277,	-3.399254080361904
8,	F1                        ,	78.062,	0.058851,	0.03453096047753279,	-41.324768521294814
9,	Fault_639                 ,	44.794,	0.087037,	0.08191803942223741,	-5.881361464391688
10,	Flan_1565                 ,	75.03,	0.159343,	0.09967756476841494,	-37.44465413076512
11,	G3_circuit                ,	4.832,	0.342943,	0.3429355281207133,	-0.0021787525293358195
12,	Geo_1438                  ,	43.921,	0.186785,	0.1346318144087102,	-27.921506326144932
13,	Graphene-4096             ,	12.995,	0.252393,	0.2423270431597242,	-3.988207612840206
14,	Graphene-short-4096       ,	3.999,	0.435719,	0.5382874408384186,	23.540043201792574
15,	gsm_106857                ,	36.914,	0.052751,	0.05275096270506936,	-7069995002333773e-20
16,	Hook_1498                 ,	40.665,	0.192085,	0.1625523724930471,	-15.37477028760856
17,	HPCG-192                  ,	26.72,	0.246054,	0.20309944584636153,	-17.457368770123008
18,	inline_1                  ,	73.09,	0.107041,	0.09862390584128411,	-7.8634300489680475
19,	nlpkkt120                 ,	27.339,	0.265522,	0.24958687438635008,	-6.001433257376001
20,	nlpkkt200                 ,	27.6,	0.2768,		0.2585874249774134,	-6.5796875081599016
21,	offshore                  ,	16.331,	0.115399,	0.11540015002019503,	0.0009965599312225584
22,	parabolic_fem             ,	6.988,	0.250366,	0.25037556334501754,	0.0038197458990279383
23,	pwtk                      ,	53.389,	0.036772,	0.03677214142565592,	0.0003846014791753095
24,	Serena                    ,	46.381,	0.187439,	0.14827233228567516,	-20.89568751131026
25,	ship_003                  ,	66.427,	0.029662,	0.029661708217776257,	-0.0009836903234562652
26,	Spin-26                   ,	14,	0.479784,	0.5059951971013705,	5.463124468796488
27,	thermal2                  ,	6.987,	0.250408,	0.25040691123075,	-0.00043479810949928997
