Id | Matrix | NNZR | SymmSpMV measured alpha copy | SymmSpMV opt alpha copy | SymmSpMV SpMV alpha copy | SymmSpMV measured alpha ld | SymmSpMV opt alpha ld | SymmSpMV SpMV alpha ld
0|Anderson-16.5             |7|20.984343258658665|21.89473684210526|21.89473684210526|23.203841103324486|24.210526315789473|18.912429981893872
1|audikw_1                  |82.285|30.97205255586826|32.827272555001805|32.827272555001805|34.24794273004663|36.299387921396224|29.797660838618345
2|bone010                   |72.632|31.749868639800976|32.60050405285743|32.60050405285743|35.10802782285685|36.048634289217354|29.766208271708884
3|channel-500x100x100-b050  |17.776|26.119713435351336|27.765669434649073|27.765669434649073|28.882375433321187|30.702422932544646|24.371129144950675
4|crankseg_1                |201.011|33.88394250138778|33.88391263045677|33.88391263045677|37.467821035188415|37.467788004832|37.467788004832
5|delaunay_n24              |6|20.155857940184276|20.8|19.44839624974738|22.28772753001146|23|16.956893368349018
6|dielFilterV3real          |80.979|30.37742940922657|32.799547582683495|32.799547582683495|33.59042675058707|36.26873050008271|29.311397638770156
7|Emilia_923                |44.419|30.29847109885085|31.436645214532433|31.436645214532433|33.50311708046008|34.76167499683875|29.67982083281986
8|F1                        |78.062|32.734474971038274|32.73449953420971|32.73449953420971|36.19677520835963|36.19680236955882|33.6128812634451
9|Fault_639                 |44.794|31.4606402954509|31.460649218533245|31.460649218533245|34.78820801900821|34.788217885878105|30.508893363620224
10|Flan_1565                 |75.03|31.590438175176864|32.66190259820728|32.66190259820728|34.93173452062826|36.1165269114792|30.853969947062197
11|G3_circuit                |4.832|19.257142656353494|19.25730251460503|19.25730251460503|21.293955821929345|21.294132588265178|21.294132588265178
12|Geo_1438                  |43.921|29.477584029883303|31.40420669117993|31.40420669117993|32.59540541765942|34.72580547582396|28.203198478132176
13|Graphene-4096             |12.995|25.997529055144835|25.997677949450747|25.997677949450747|28.74726770520823|28.747432347950344|25.65831002509404
14|Graphene-short-4096       |3.999|17.929692797654024|17.929303031348073|17.929303031348073|19.82610261279051|19.825671621202197|18.740363134365392
15|gsm_106857                |36.914|30.867339936132893|30.86734198619091|30.86734198619091|34.132154737070024|34.132157003961105|31.06743709586254
16|Hook_1498                 |40.665|28.9652451364834|31.17493435015648|31.17493435015648|32.02887683361145|34.4722831756538|28.398160539745717
17|HPCG-192                  |26.72|27.527340211436552|29.671469740634006|29.671469740634006|30.43888581072311|32.809798270893374|26.369926765714435
18|inline_1                  |73.09|32.61253161686739|32.61251957506243|32.61251957506243|36.061933999420674|36.061920683963265|31.03321115722903
19|nlpkkt120                 |27.339|26.539426310165947|29.76515143864185|29.541904601878493|29.346481016048884|32.91338861003666|25.120368669780696
20|nlpkkt200                 |27.6|26.196974593983093|29.803607214428858|29.43642642351682|28.967808445269768|32.9559118236473|25.04668249416016
21|offshore                  |16.331|27.31240080282397|27.31235130998742|27.31235130998742|30.201212426199582|30.20115769854378|30.20115769854378
22|parabolic_fem             |6.988|21.882889844756246|21.882625645348227|21.882625645348227|24.197426270643927|24.197134127067752|24.197134127067752
23|pwtk                      |53.389|31.927263392770996|31.927255075719515|31.927255075719515|35.304185482391006|35.30417628565139|35.30417628565139
24|Serena                    |46.381|29.08422978280317|31.558404795604027|31.558404795604027|32.16044639444581|34.89631299513907|28.046838144580082
25|ship_003                  |66.427|32.422654660835455|32.42267235679509|32.42267235679509|35.851973903808435|35.85199347145611|35.85199347145611
26|Spin-26                   |14|20.36648976107366|26.440677966101696|21.63166892748312|22.520637716571834|29.237288135593218|19.007898174141143
27|thermal2                  |6.987|21.88158526662646|21.881615342061586|21.881615342061586|24.19598370828887|24.196016964779638|24.196016964779638
