  SIZE(KB), Bandwidth(MB/s)
        12,     488259.6300
        17,     572956.6700
        22,     655377.2300
        27,     650355.3100
        32,     677858.0600
        37,     695572.8300
        42,     714945.8200
        62,     748648.9000
        82,     805183.0000
       102,     756784.2700
       122,     754196.9800
       142,     776383.1900
       162,     775451.8300
       182,     787797.0900
       202,     791454.0800
       222,     788026.1600
       242,     792353.1800
       262,     700720.8800
       282,     663449.0300
       302,     582732.6900
       322,     591057.4000
       342,     497065.6200
       362,     415105.6100
       382,     380807.6700
       402,     356587.2500
       422,     345963.8300
       442,     339655.0600
       462,     343560.0700
       482,     340275.5600
       502,     350849.2700
       522,     347751.6300
       542,     342651.3700
       562,     343648.8100
       582,     330820.0400
       602,     342307.3400
       622,     343153.1300
       642,     342577.1000
       662,     336070.8800
       682,     340012.3800
       702,     344809.1900
       722,     340934.3200
       742,     345025.7300
       762,     342134.6600
       782,     344311.4100
       802,     339220.4100
       852,     336817.3900
       902,     351398.2600
       952,     342331.5600
      1002,     345688.7200
      1052,     339912.7800
      1102,     343490.0700
      1152,     339240.1700
      1202,     338139.1200
      1252,     339355.9600
      1302,     330904.0200
      1352,     329918.0000
      1402,     330740.2300
      1452,     335710.8700
      1502,     320006.7300
      1552,     326541.3400
      1602,     336730.4300
      1652,     321821.5900
      1702,     329807.8200
      1752,     315529.8000
      1802,     326526.9900
      1852,     308859.6900
      1902,     323015.8100
      1952,     320432.8700
      2002,     328399.1800
      2052,     319419.9000
      2102,     317724.5800
      2152,     318309.0200
      2202,     314153.5100
      2252,     322640.9700
      2302,     305887.9700
      2352,     312070.5500
      2402,     307308.3100
      2452,     307609.6800
      2502,     286230.5600
      2552,     282356.7900
      2602,     289867.4600
      2652,     297168.3100
      2702,     296677.9400
      2752,     285442.8300
      2802,     276530.6100
      2852,     281694.7000
      2902,     293894.6500
      2952,     275194.7900
      3002,     267666.7300
      3052,     252617.5700
      3102,     253824.4900
      3152,     251294.2300
      3202,     254813.3600
      3252,     259068.1500
      3302,     239160.9000
      3352,     252773.6400
      3402,     255991.3400
      3452,     240543.8700
      3502,     244391.2500
      3552,     240813.0800
      3602,     230099.9400
      3652,     238796.4800
      3702,     232106.7700
      3752,     223068.9800
      3802,     227498.6900
      3852,     229897.6900
      3902,     231317.2500
      3952,     224570.9200
      4002,     219367.9400
      4052,     216305.8200
      4102,     220630.9500
      4152,     217272.4100
      4202,     216492.0200
      4252,     215502.8400
      4302,     216507.9800
      4352,     206706.6200
      4402,     206811.2100
      4452,     207391.4500
      4502,     210201.8000
      4552,     206424.4600
      4602,     203128.6000
      4652,     208174.3900
      4702,     204208.3800
      4752,     203473.3000
      4802,     203102.3400
      4852,     201975.5700
      4902,     199930.6900
      4952,     200298.1000
      5002,     200817.5600
      5502,     197461.3600
      6002,     198347.5000
      6502,     198254.2900
      7002,     198066.6700
      7502,     197922.1900
      8002,     197700.0500
      8502,     197640.0600
      9002,     197902.6000
      9502,     195868.2300
     10002,     198060.6500
     10502,     196436.7200
     11002,     197986.7700
     11502,     198080.6100
     12002,     198051.4300
     12502,     197610.9200
     13002,     197809.5300
     13502,     197688.9400
     14002,     197627.8600
     14502,     198104.6100
     15002,     194568.8200
     15502,     197977.8900
     16002,     197797.4200
     16502,     197023.3300
     17002,     197184.4300
     17502,     197017.3000
     18002,     197473.9300
     18502,     196385.3200
     19002,     192963.8300
     19502,     193814.8700
     20002,     185810.7200
     20502,     183408.8200
     21002,     180387.8100
     21502,     172798.2800
     22002,     175142.4600
     22502,     161053.5700
     23002,     161309.4600
     23502,     151946.8600
     24002,     146137.3600
     24502,     144618.0100
     25002,     142847.0900
     25502,     129547.4600
     26002,     128885.4100
     26502,     114071.7200
     27002,     119514.2700
     27502,     111881.0000
     28002,     116640.3300
     28502,      99499.3500
     29002,     115619.2400
     29502,      92350.5600
     30002,     102660.7400
     35002,      37212.7400
     40002,      28499.7600
     45002,      28158.5700
     50002,      26926.5000
     55002,      26297.9100
     60002,      25906.6400
     65002,      26537.1600
     70002,      26350.4300
     75002,      26722.4600
     80002,      26280.0300
     85002,      26678.2400
     90002,      26418.3900
     95002,      27179.4700
    100002,      27187.2700
    150002,      26889.7900
    200002,      26293.6000
    250002,      27231.2100
    300002,      27059.3100
    350002,      26548.2900
    400002,      26174.7400
    450002,      26512.8900
    500002,      25918.7400
    550002,      25402.8200
    600002,      25812.2200
    650002,      26821.2000
    700002,      26818.3600
    750002,      26000.3000
    800002,      26920.5200
    850002,      27038.6300
    900002,      26826.4000
    950002,      26091.0400
   1000002,      26549.7700
   1050002,      26366.6400
   1100002,      25832.2700
   1150002,      25679.7500
   1200002,      26646.3000
   1250002,      26532.3600
   1300002,      25997.8100
   1350002,      26080.8300
   1400002,      26919.9900
   1450002,      26948.2800
   1500002,      26114.3700
   1550002,      26758.4100
   1600002,      26891.3400
   1650002,      26428.5400
   1700002,      25697.3800
   1750002,      26038.5200
   1800002,      26215.7500
   1850002,      25998.3500
   1900002,      25659.5800
   1950002,      26835.3000
