,Matrix,RCM,ActualIter,ErrNorm
9,crankseg_1.mtx,1,490,0.002491739
41,ship_003.mtx,0,500,0.002030526
42,shipsec1.mtx,0,510,0.001935247
3,bmw7st_1.mtx,0,570,0.002047277
19,gearbox.mtx,0,530,2.789065e-05
37,pwtk.mtx,1,560,0.001474711
13,F1.mtx,1,500,0.001705273
29,inline_1.mtx,1,500,0.001405888
22,gsm_106857.mtx,1,520,0.0002180479
14,Fault_639.mtx,0,500,0.001220148
27,Hubbard-12.mtx,1,2000,2.091331e-06
12,Emilia_923.mtx,1,500,0.001031957
2,audikw_1.mtx,1,450,0.0004311282
30,ldoor.mtx,1,520,0.0007593771
4,bone010.mtx,1,500,0.001006179
11,dielFilterV3real.mtx,1,540,0.000372801
44,thermal2.mtx,1,510,0.0009012783
40,Serena.mtx,1,500,0.000836784
20,Geo_1438.mtx,0,470,0.0008126739
24,Hook_1498.mtx,1,510,0.0007886575
32,ML_Geer.mtx,1,520,0.0008075765
5,cage14.mtx,0,50,1.4559540000000002e-17
0,af_shell10.mtx,1,500,0.0006316665
15,Flan_1565.mtx,1,500,0.0007851344
18,G3_circuit.mtx,1,510,0.0007835572
25,HPCG-128-128-128.mtx,0,510,0.0001480392
1,Anderson-16.5.mtx,1,510,4.013242e-05
16,FreeBosonChain-18.mtx,1,2850,1.328923e-06
33,nlpkkt120.mtx,0,510,0.0003774724
38,rajat31.mtx,0,510,0.0003772794
8,channel-500x100x100-b050.mtx,0,950,2.900088e-06
26,HPCG-192-192-192.mtx,1,510,0.0003602024
17,FreeFermionChain-26.mtx,0,2110,5.246844e-07
43,Spin-26.mtx,1,500,1.892999e-05
28,Hubbard-14.mtx,1,4600,2.697336e-07
34,nlpkkt200.mtx,0,510,0.0001825563
10,delaunay_n24.mtx,1,520,6.337664e-06
21,Graphene-4096.mtx,0,390,2.488539e-07
