,Matrix,RCM,ActualIter,ErrNorm
9,crankseg_1.mtx,1,500,0.002494214
41,ship_003.mtx,1,500,0.002030541
42,shipsec1.mtx,1,500,0.001935464
3,bmw7st_1.mtx,1,500,0.002047656
19,gearbox.mtx,1,500,2.793559e-05
37,pwtk.mtx,1,500,0.001475569
13,F1.mtx,1,500,0.001705274
29,inline_1.mtx,1,500,0.001405899
22,gsm_106857.mtx,1,500,0.0002180571
14,Fault_639.mtx,1,500,0.001220175
27,Hubbard-12.mtx,1,500,2.096482e-06
12,Emilia_923.mtx,1,500,0.001031957
2,audikw_1.mtx,1,500,0.0004314008
30,ldoor.mtx,1,500,0.0007596144
4,bone010.mtx,1,500,0.00100618
11,dielFilterV3real.mtx,1,500,0.0003730806
44,thermal2.mtx,1,500,0.000901279
40,Serena.mtx,1,500,0.0008367873
20,Geo_1438.mtx,1,500,0.0008126882
24,Hook_1498.mtx,1,500,0.0007887512
32,ML_Geer.mtx,1,500,0.0008075929
5,cage14.mtx,1,50,3.277637e-17
0,af_shell10.mtx,1,500,0.0006316676
15,Flan_1565.mtx,1,500,0.0007852109
18,G3_circuit.mtx,1,500,0.0007835706
25,HPCG-128-128-128.mtx,1,500,0.0001517956
1,Anderson-16.5.mtx,1,500,4.032727e-05
16,FreeBosonChain-18.mtx,1,500,1.329657e-06
33,nlpkkt120.mtx,1,500,0.0003786714
38,rajat31.mtx,1,500,0.0003772816
8,channel-500x100x100-b050.mtx,1,500,2.908313e-06
26,HPCG-192-192-192.mtx,1,500,0.0003602899
17,FreeFermionChain-26.mtx,1,500,5.254167e-07
43,Spin-26.mtx,1,500,1.893613e-05
28,Hubbard-14.mtx,1,500,2.699011e-07
34,nlpkkt200.mtx,1,500,0.0001830738
10,delaunay_n24.mtx,1,500,6.363138e-06
21,Graphene-4096.mtx,1,500,2.497949e-07
