THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.260540,                 ,                 ,                 ,                 
    2,         0.499516,                 ,                 ,                 ,                 
    3,         0.664089,                 ,                 ,                 ,                 
    4,         0.790540,                 ,                 ,                 ,                 
    5,         0.888990,                 ,                 ,                 ,                 
    6,         0.932837,                 ,                 ,                 ,                 
    7,         0.953635,                 ,                 ,                 ,                 
    8,         0.981464,                 ,                 ,                 ,                 
    9,         0.990173,                 ,                 ,                 ,                 
   10,         1.005865,         985.0067,        1181.1636,        1362.0088,         668.6771

