THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.141285,         141.7708,               -1,               -1,               -1
    2,         2.068220,         160.2992,               -1,               -1,               -1
    3,         2.918496,         174.8639,               -1,               -1,               -1
    4,         3.733578,         185.7128,               -1,               -1,               -1
    5,         4.440391,         198.2707,               -1,               -1,               -1
    6,         5.032009,         207.6248,               -1,               -1,               -1
    7,         5.559412,         217.6156,               -1,               -1,               -1
    8,         6.089960,         227.3598,               -1,               -1,               -1
    9,         6.099202,         227.0860,               -1,               -1,               -1
   10,         6.096492,         227.4134,               -1,               -1,               -1
   11,         6.096981,         227.9136,               -1,               -1,               -1
   12,         5.554001,         227.6103,               -1,               -1,               -1
   13,         6.103069,         226.8887,               -1,               -1,               -1
   14,         6.093695,         228.0087,               -1,               -1,               -1
   15,         6.087650,         228.4538,               -1,               -1,               -1
   16,         6.100844,         227.8419,               -1,               -1,               -1
   17,         6.093353,         228.0551,               -1,               -1,               -1
   18,         6.091634,         228.1836,               -1,               -1,               -1
   19,         6.099976,         228.2169,               -1,               -1,               -1
   20,         5.964085,         227.2308,         401.5282,         328.4709,               -1
