Threads, Perf
 1, 0.754217 
 2, 1.480955 
 3, 2.181670 
 4, 2.872431 
 5, 3.547384 
 6, 4.199951 
 7, 4.916956 
 8, 5.555454 
 9, 6.251605 
 10, 6.954423 
 11, 7.543047 
 12, 8.171999 
 13, 8.797510 
 14, 9.277308 
 15, 9.756192 
 16, 10.482320 
 17, 10.854888 
 18, 11.176738 
 19, 11.500781 
 20, 11.793248 
