THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.362899,         422.4275,               -1,               -1,               -1
    2,         0.698276,         419.9420,               -1,               -1,               -1
    3,         0.961965,         418.9319,               -1,               -1,               -1
    4,         1.182185,         418.3174,               -1,               -1,               -1
    5,         1.394672,         417.9384,               -1,               -1,               -1
    6,         1.587258,         417.4898,               -1,               -1,               -1
    7,         1.728721,         417.2923,               -1,               -1,               -1
    8,         1.862056,         417.1066,               -1,               -1,               -1
    9,         1.950009,         416.9417,               -1,               -1,               -1
   10,         2.019460,         416.5580,         545.2383,         572.0974,        1706.3532
