THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.740824,          47.0693,          45.8610,          52.6637,           0.0579
    2,         1.424415,          46.9140,          45.9265,          52.6447,           0.3283
    3,         2.012308,          46.6749,          46.0055,          52.6606,           0.3419
    4,         2.474864,          46.8156,          46.1102,          52.6917,           0.5271
    5,         3.518967,          33.8732,          45.9085,          52.7032,           0.3789
    6,         2.903925,          46.6961,          46.3733,          52.6681,           0.4976
    7,         3.125384,          43.8888,          46.4203,          52.6708,           0.6645
    8,         3.176831,          42.6222,          46.4705,          52.6588,           0.5266
    9,         3.084866,          45.8411,          46.5336,          52.6641,           0.5438
   10,         3.976756,          35.4242,          46.4157,          52.6888,           0.8411
