THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.675610,          59.8162,          58.0839,          71.5767,           0.0067
    2,         1.293382,          59.3175,          58.1245,          71.5638,           0.5223
    3,         1.778568,          59.2146,          58.3806,          71.5818,           0.6297
    4,         2.049788,          58.9003,          58.6926,          71.6374,           1.0244
    5,         2.205626,          58.7167,          58.9204,          71.6673,           1.2269
    6,         2.261711,          58.7027,          59.0609,          71.5892,           1.9809
    7,         2.295504,          58.6348,          59.1878,          71.5779,           2.3944
    8,         2.293891,          58.8338,          59.2240,          71.5613,           3.5765
    9,         2.285263,          58.9795,          59.2600,          71.5701,           2.6273
   10,         2.275240,          59.0448,          59.2705,          71.6287,           4.6172
