THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.818068,          44.2645,          43.8814,          53.2336,           0.0122
    2,         1.526097,          43.7124,          43.9692,          53.2215,           0.5656
    3,         2.188246,          43.1966,          43.9820,          53.2327,           0.5221
    4,         2.640693,          43.5856,          44.1386,          53.2227,           0.4633
    5,         2.891018,          43.0474,          44.2004,          53.1998,           0.6295
    6,         3.044958,          43.1568,          44.3536,          53.1616,           0.6952
    7,         2.882408,          43.2857,          44.3752,          53.1483,           1.0352
    8,         3.134146,          43.2308,          44.4769,          53.1208,           1.3618
    9,         3.141647,          43.1197,          44.4499,          53.0885,           1.9259
   10,         3.082583,          43.0507,          44.4700,          53.0557,           2.4095
