THREAD             spmv         spmv_mkl            spmtv        symm_spmv               gs             kacz
    1         2.091810         2.104743         2.197487         3.893710         2.184290         2.800868
    2         3.698512         3.667552         4.145704         7.198137         4.092113         5.313423
    3         5.235555         5.192236         5.972781        10.122584         5.866612         7.571742
    4         6.518500         6.489934         6.146359        10.917102         6.031578         7.785930
    5         7.687721         7.631581         8.735719        14.740472         8.656648        11.077245
    6         8.748541         8.700080         8.640793        14.645794         8.553660        10.981607
    7         9.047464         9.121475         8.751120        14.724391         8.721070        10.988718
    8         9.978531         9.942546        11.143854        18.460682        11.039493        14.262145
    9        11.180025        11.281119         6.874197        11.402223         7.023790         8.486370
   10        12.536722        12.570696         8.580763        15.605932         8.700794        10.615036
   11        13.465461        13.602625         9.398551        16.014294         9.489438        10.808556
   12        13.929644        14.085271        10.335389        17.490723        10.402621        13.047028
   13        14.609150        14.847857         9.065871        15.149393         9.187746        11.018495
   14        15.262628        15.456489         9.290831        15.533427         9.348240        11.168792
   15        15.502487        15.452416         7.195439        12.145441         7.533116         8.708129
   16        16.119837        15.883178         8.963330        15.612026         9.258825        10.786452
   17        16.876480        16.907109         5.779571         9.667970         6.028614         6.896740
   18        17.091396        17.505780        10.941140        19.822394        10.984129        13.183208
   19        17.560622        18.005262         7.272882        12.775862         7.554694         8.307565
   20        17.800662        18.306314         7.310398        12.583643         7.626272         8.333478
