Threads, Perf
 1, 0.977984 
 2, 1.932366 
 3, 2.872713 
 4, 3.791324 
 5, 4.664790 
 6, 5.516382 
 7, 6.366827 
 8, 7.176213 
 9, 7.967675 
 10, 8.761111 
 11, 9.409715 
 12, 9.821579 
 13, 10.151065 
 14, 10.449657 
 15, 10.805896 
 16, 10.992058 
 17, 11.059213 
 18, 11.141100 
 19, 11.228592 
 20, 11.293688 
