THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.342256,          20.2372,          24.0789,          24.4818,           0.0008
    2,         0.612726,          20.8251,          24.0769,          24.4808,           1.0785
    3,         0.870780,          21.1678,          24.0449,          24.4543,           0.8127
    4,         1.099139,          21.3726,          24.0818,          24.4901,           0.6578
    5,         1.312081,          21.3522,          24.0508,          24.4850,           0.6055
    6,         1.506594,          21.5334,          24.0877,          24.4868,           0.6716
    7,         1.674190,          21.6268,          24.0566,          24.5025,           0.7135
    8,         1.838215,          21.6274,          24.0927,          24.5028,           0.7824
    9,         1.979535,          21.7337,          24.0943,          24.4651,           0.7549
   10,         2.116013,          21.7207,          24.0645,          24.4953,           0.7416
