THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.303221,          30.2122,          37.7040,          38.9028,           0.0012
    2,         0.572722,          30.0775,          37.8120,          39.0001,          11.8650
    3,         0.799068,          30.0462,          37.8650,          39.0713,          21.2954
    4,         0.988415,          29.9726,          37.9079,          39.1599,          34.2936
    5,         1.159939,          29.9625,          37.9363,          39.1909,          46.9976
    6,         1.296000,          29.9182,          37.9682,          39.2511,          59.7410
    7,         1.376253,          29.9089,          37.9860,          39.3353,          76.2136
    8,         1.450665,          29.8925,          38.0066,          39.3849,          92.6197
    9,         1.495002,          29.8769,          38.0239,          39.4541,         107.4623
   10,         1.531151,          29.8552,          38.0473,          39.5043,         123.8564
