THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.382968,          21.0684,          27.0179,          28.0455,           0.0036
    2,         0.722213,          20.9737,          27.0913,          28.1258,           7.2593
    3,         0.989737,          20.9211,          27.0927,          28.1630,          14.1879
    4,         1.217160,          20.8858,          27.1386,          28.2551,          22.5515
    5,         1.441663,          20.8724,          27.1353,          28.3009,          31.8551
    6,         1.632917,          20.8801,          27.1683,          28.3506,          40.9066
    7,         1.785273,          20.8414,          27.1657,          28.4053,          52.3287
    8,         1.903462,          20.8199,          27.1987,          28.4584,          63.2917
    9,         1.970171,          20.8165,          27.2128,          28.5009,          73.5635
   10,         2.057894,          20.8174,          27.2041,          28.5716,          85.1860
