Counter | 	             Matrix | 	   KACZ| 	    KACZ| 	    KACZ| 	 SYMM_KACZ| 	 SYMM_KACZ| 	 SYMM_KACZ| 	 
     0 | 	  Anderson-16.5.mtx | 	8.763839 | 	 9112.393278 | 	   1360 | 	 8.896093 | 	 14653.507785 | 	   1110 | 	 
     1 | 	       audikw_1.mtx | 	13.317113 | 	 24490.124665 | 	   1050 | 	 12.542886 | 	 50022.534162 | 	   1010 | 	 
     2 | 	        bone010.mtx | 	13.676214 | 	 26201.083669 | 	   1250 | 	 13.469159 | 	 42991.839680 | 	   1010 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	12.013154 | 	 60044.012727 | 	   2000 | 	 12.181725 | 	 60397.381562 | 	   1020 | 	 
     4 | 	     crankseg_1.mtx | 	10.072341 | 	 4468.102286 | 	   1060 | 	 8.884432 | 	 9939.884692 | 	   1040 | 	 
     5 | 	   delaunay_n24.mtx | 	7.796968 | 	 57322.876501 | 	   1110 | 	 7.700053 | 	 106676.119673 | 	   1020 | 	 
     6 | 	 dielFilterV3real.mtx | 	13.004183 | 	 25547.041461 | 	    930 | 	 12.505755 | 	 57700.846343 | 	   1010 | 	 
     7 | 	     Emilia_923.mtx | 	12.656663 | 	 21382.757714 | 	   1650 | 	 12.669137 | 	 27705.483455 | 	   1070 | 	 
     8 | 	             F1.mtx | 	12.913729 | 	 8063.356535 | 	    970 | 	 12.379258 | 	 17516.709345 | 	   1010 | 	 
     9 | 	      Fault_639.mtx | 	11.929377 | 	 15927.127856 | 	   1660 | 	 11.966174 | 	 20852.028462 | 	   1090 | 	 
    10 | 	      Flan_1565.mtx | 	13.645750 | 	 60915.285830 | 	   1770 | 	 13.461479 | 	 92798.148711 | 	   1330 | 	 
    11 | 	     G3_circuit.mtx | 	7.899886 | 	 5003.852351 | 	   1290 | 	 7.979641 | 	 7910.783223 | 	   1030 | 	 
    12 | 	       Geo_1438.mtx | 	12.188732 | 	 38343.569751 | 	   1850 | 	 12.056546 | 	 42745.126086 | 	   1020 | 	 
    13 | 	  Graphene-4096.mtx | 	11.451912 | 	 165243.931905 | 	   2170 | 	 10.870611 | 	 162047.081262 | 	   1010 | 	 
    14 | 	 Graphene-short-4096.mtx | 	7.449406 | 	 82143.561512 | 	   2280 | 	 7.661424 | 	 70762.345008 | 	   1010 | 	 
    15 | 	     gsm_106857.mtx | 	11.384564 | 	 4204.783955 | 	    550 | 	 11.406291 | 	 15260.998739 | 	   1000 | 	 
    16 | 	      Hook_1498.mtx | 	12.020233 | 	 28583.004846 | 	   1410 | 	 11.801897 | 	 42532.124566 | 	   1030 | 	 
    17 | 	       HPCG-192.mtx | 	11.541037 | 	 131093.399669 | 	   2000 | 	 11.693850 | 	 142318.327542 | 	   1100 | 	 
    18 | 	       inline_1.mtx | 	13.974446 | 	 8746.697974 | 	    830 | 	 13.617325 | 	 21629.118061 | 	   1000 | 	 
    19 | 	      nlpkkt120.mtx | 	10.539657 | 	 70936.798165 | 	   1930 | 	 10.775755 | 	 72618.022690 | 	   1010 | 	 
    20 | 	      nlpkkt200.mtx | 	       | 	        | 	        | 	        | 	        | 	        | 	 
    21 | 	       offshore.mtx | 	9.291859 | 	 2264.741338 | 	   1240 | 	 9.148223 | 	 3821.466322 | 	   1030 | 	 
    22 | 	  parabolic_fem.mtx | 	9.743778 | 	 3017.002182 | 	   2000 | 	 9.691272 | 	 3124.348345 | 	   1030 | 	 
    23 | 	           pwtk.mtx | 	13.775234 | 	 4087.815420 | 	   1210 | 	 14.116591 | 	 6725.200337 | 	   1020 | 	 
    24 | 	         Serena.mtx | 	11.596494 | 	 24930.122132 | 	   1120 | 	 11.433692 | 	 44700.439815 | 	    990 | 	 
    25 | 	       ship_003.mtx | 	13.201369 | 	 2817.568052 | 	   1150 | 	 13.738199 | 	 4802.815593 | 	   1020 | 	 
    26 | 	        Spin-26.mtx | 	8.655000 | 	 94885.197673 | 	   1410 | 	 8.595671 | 	 168042.189070 | 	   1240 | 	 
    27 | 	       thermal2.mtx | 	9.209473 | 	 6298.179592 | 	   1690 | 	 9.259474 | 	 7487.350530 | 	   1010 | 	 
