THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.955300,         223.4019,               -1,               -1,               -1
    2,         1.685726,         273.2129,               -1,               -1,               -1
    3,         2.077642,         298.2398,               -1,               -1,               -1
    4,         2.380053,         337.2424,               -1,               -1,               -1
    5,         2.560441,         358.6924,               -1,               -1,               -1
    6,         2.561600,         396.1104,               -1,               -1,               -1
    7,         2.533440,         417.9562,               -1,               -1,               -1
    8,         2.381483,         455.0649,               -1,               -1,               -1
    9,         2.374981,         455.6454,               -1,               -1,               -1
   10,         2.380789,         455.1156,         481.5579,         583.4754,          23.6435
