Counter | 	             Matrix | 	PLAIN_SpMV| 	   SpMTV| 	 Symm SpMV| 	 
     0 | 	  Anderson-16.5.mtx | 	11.808361 | 	 10.956024 | 	 14.616334 | 	 
     1 | 	       audikw_1.mtx | 	17.303163 | 	 16.310395 | 	 29.389081 | 	 
     2 | 	        bone010.mtx | 	16.962838 | 	 15.854914 | 	 29.144620 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	14.940770 | 	 14.522910 | 	 23.696725 | 	 
     4 | 	     crankseg_1.mtx | 	20.557633 | 	 9.445042 | 	 15.400558 | 	 
     5 | 	   delaunay_n24.mtx | 	10.504054 | 	 10.880708 | 	 13.326586 | 	 
     6 | 	 dielFilterV3real.mtx | 	17.164012 | 	 15.481613 | 	 27.028246 | 	 
     7 | 	     Emilia_923.mtx | 	16.953531 | 	 16.003116 | 	 28.469068 | 	 
     8 | 	             F1.mtx | 	17.706302 | 	 16.125576 | 	 28.019140 | 	 
     9 | 	      Fault_639.mtx | 	16.976548 | 	 15.773989 | 	 28.363801 | 	 
    10 | 	      Flan_1565.mtx | 	17.223035 | 	 16.230865 | 	 29.827848 | 	 
    11 | 	     G3_circuit.mtx | 	12.636587 | 	 12.838647 | 	 15.135629 | 	 
    12 | 	       Geo_1438.mtx | 	16.506496 | 	 15.633039 | 	 27.115273 | 	 
    13 | 	  Graphene-4096.mtx | 	14.633651 | 	 15.039766 | 	 23.728702 | 	 
    14 | 	 Graphene-short-4096.mtx | 	10.595781 | 	 11.145607 | 	 13.406762 | 	 
    15 | 	     gsm_106857.mtx | 	17.042929 | 	 15.541606 | 	 24.857203 | 	 
    16 | 	      Hook_1498.mtx | 	16.787118 | 	 15.742905 | 	 27.315481 | 	 
    17 | 	       HPCG-192.mtx | 	15.592709 | 	 14.456449 | 	 23.475947 | 	 
    18 | 	       inline_1.mtx | 	17.209844 | 	 16.916383 | 	 31.731108 | 	 
    19 | 	      nlpkkt120.mtx | 	15.653276 | 	 12.512028 | 	 19.448762 | 	 
    20 | 	      nlpkkt200.mtx | 	15.752389 | 	 14.284019 | 	 24.014094 | 	 
    21 | 	       offshore.mtx | 	20.954442 | 	 12.804790 | 	 15.581563 | 	 
    22 | 	  parabolic_fem.mtx | 	21.686226 | 	 21.363509 | 	 31.206720 | 	 
    23 | 	           pwtk.mtx | 	19.937954 | 	 19.411042 | 	 39.039620 | 	 
    24 | 	         Serena.mtx | 	16.436457 | 	 14.734566 | 	 23.331850 | 	 
    25 | 	       ship_003.mtx | 	22.016463 | 	 19.795767 | 	 36.382835 | 	 
    26 | 	        Spin-26.mtx | 	12.589225 | 	 11.151511 | 	 16.228225 | 	 
    27 | 	       thermal2.mtx | 	14.556218 | 	 14.897007 | 	 18.254121 | 	 
