THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.331238,         404.5766,               -1,               -1,               -1
    2,         0.601760,         415.0767,               -1,               -1,               -1
    3,         0.854699,         421.0460,               -1,               -1,               -1
    4,         1.080522,         423.6959,               -1,               -1,               -1
    5,         1.289018,         424.8467,               -1,               -1,               -1
    6,         1.473058,         425.3735,               -1,               -1,               -1
    7,         1.642612,         425.3462,               -1,               -1,               -1
    8,         1.801287,         425.5287,               -1,               -1,               -1
    9,         1.940456,         425.4291,               -1,               -1,               -1
   10,         2.064110,         425.5731,         480.9740,         488.4231,          10.3930
