Counter | 	             Matrix | 	MKL_SpMV| 	   SpMTV| 	 SymmSpMV| 	 
     4 | 	     crankseg_1.mtx | 	2.094802 | 	 1.836667 | 	 2.932416 | 	 
    28 | 	       ship_003.mtx | 	2.100187 | 	 1.843599 | 	 2.566118 | 	 
    26 | 	           pwtk.mtx | 	2.152866 | 	 1.861819 | 	 2.705337 | 	 
    24 | 	       offshore.mtx | 	1.556940 | 	 1.116941 | 	 1.268479 | 	 
     8 | 	             F1.mtx | 	2.060497 | 	 1.801566 | 	 2.359582 | 	 
    21 | 	       inline_1.mtx | 	1.972381 | 	 1.730052 | 	 2.367746 | 	 
    25 | 	  parabolic_fem.mtx | 	1.572174 | 	 1.453924 | 	 1.672863 | 	 
    16 | 	     gsm_106857.mtx | 	1.849101 | 	 1.564222 | 	 1.813269 | 	 
     9 | 	      Fault_639.mtx | 	1.985478 | 	 1.684738 | 	 2.407619 | 	 
    19 | 	     Hubbard-12.mtx | 	1.584611 | 	 1.141596 | 	 1.653091 | 	 
     7 | 	     Emilia_923.mtx | 	1.926171 | 	 1.675679 | 	 2.395357 | 	 
     1 | 	       audikw_1.mtx | 	1.975402 | 	 1.769213 | 	 2.381142 | 	 
     2 | 	        bone010.mtx | 	1.979879 | 	 1.776223 | 	 2.647307 | 	 
     6 | 	 dielFilterV3real.mtx | 	1.945720 | 	 1.750766 | 	 2.288394 | 	 
    30 | 	       thermal2.mtx | 	1.226748 | 	 1.002649 | 	 1.061842 | 	 
    27 | 	         Serena.mtx | 	1.855128 | 	 1.586157 | 	 2.195294 | 	 
    14 | 	       Geo_1438.mtx | 	1.907705 | 	 1.663428 | 	 2.435801 | 	 
    17 | 	      Hook_1498.mtx | 	1.855410 | 	 1.543370 | 	 2.209951 | 	 
    10 | 	      Flan_1565.mtx | 	1.991919 | 	 1.807277 | 	 2.776147 | 	 
    13 | 	     G3_circuit.mtx | 	1.064447 | 	 1.144870 | 	 1.075110 | 	 
     0 | 	  Anderson-16.5.mtx | 	1.412248 | 	 1.352001 | 	 1.596159 | 	 
    11 | 	 FreeBosonChain-18.mtx | 	1.534421 | 	 1.215317 | 	 1.459417 | 	 
    22 | 	      nlpkkt120.mtx | 	1.823343 | 	 1.611694 | 	 2.155185 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	1.667730 | 	 1.533014 | 	 1.995607 | 	 
    18 | 	       HPCG-192.mtx | 	1.827267 | 	 1.672821 | 	 2.336697 | 	 
    12 | 	 FreeFermionChain-26.mtx | 	1.526980 | 	 1.212487 | 	 1.445935 | 	 
    29 | 	        Spin-26.mtx | 	1.579139 | 	 1.204407 | 	 1.556172 | 	 
    20 | 	     Hubbard-14.mtx | 	1.588277 | 	 1.143575 | 	 1.685863 | 	 
    23 | 	      nlpkkt200.mtx | 	1.799065 | 	 1.579751 | 	 2.152075 | 	 
     5 | 	   delaunay_n24.mtx | 	1.079452 | 	 0.758501 | 	 0.754117 | 	 
    15 | 	  Graphene-4096.mtx | 	1.768035 | 	 1.561829 | 	 2.019101 | 	 
