THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.316392,         426.3783,               -1,               -1,               -1
    2,         0.596101,         453.4213,               -1,               -1,               -1
    3,         0.775124,         498.1411,               -1,               -1,               -1
    4,         0.963200,         535.2141,               -1,               -1,               -1
    5,         1.126655,         562.3755,               -1,               -1,               -1
    6,         1.245870,         584.0095,               -1,               -1,               -1
    7,         1.333488,         599.4463,               -1,               -1,               -1
    8,         1.404053,         610.3614,               -1,               -1,               -1
    9,         1.417316,         619.6824,               -1,               -1,               -1
   10,         1.496298,         626.5943,         801.5559,         965.1794,         419.1442
