THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.295309,          22.9680,          34.7041,          38.9863,           0.0197
    2,         0.520414,          20.1059,          34.6965,          38.9914,           1.2280
    3,         0.723979,          17.6681,          34.6915,          38.9876,           0.9874
    4,         0.874831,          18.9673,          34.6996,          38.9758,           0.7355
    5,         1.039405,          17.9409,          34.6960,          38.9993,           0.6704
    6,         1.185933,          19.9048,          34.7022,          38.9792,           0.7435
    7,         1.270356,          22.4776,          34.7065,          38.9947,           0.7603
    8,         1.384452,          21.8608,          34.7062,          38.9884,           0.6879
    9,         1.508753,          21.3149,          34.7103,          38.9951,           0.6863
   10,         1.601108,          23.8641,          34.7192,          38.9852,           0.7405
