  THREAD 	    eps_1 	    eps_2 	      Eff 	 maxDepth 	       Time
       1 	       80 	       80 	 1.000000 	        1 	 8704.124508
       2 	       80 	       80 	 0.999025 	        1 	 8372.040855
       3 	       80 	       80 	 0.998371 	        1 	 8272.041117
       4 	       80 	       80 	 0.997082 	        1 	 8165.071874
       5 	       80 	       80 	 0.998197 	        1 	 8187.461636
       6 	       80 	       80 	 0.997297 	        1 	 8128.328463
       7 	       80 	       80 	 0.994609 	        1 	 8116.785476
       8 	       80 	       80 	 0.993803 	        1 	 8080.032412
       9 	       80 	       80 	 0.996436 	        1 	 8059.564501
      10 	       80 	       80 	 0.990515 	        1 	 8086.755643
      11 	       80 	       80 	 0.992593 	        1 	 8069.481362
      12 	       80 	       80 	 0.988891 	        1 	 8104.540151
      13 	       80 	       80 	 0.995106 	        1 	 8059.786995
      14 	       80 	       80 	 0.986912 	        1 	 8058.205123
      15 	       80 	       80 	 0.986104 	        1 	 8077.956759
      16 	       80 	       80 	 0.989137 	        1 	 8073.769293
      17 	       80 	       80 	 0.982401 	        1 	 8077.401763
      18 	       80 	       80 	 0.991498 	        1 	 8124.748001
      19 	       80 	       80 	 0.985472 	        1 	 8122.937657
      20 	       80 	       80 	 0.983365 	        1 	 8090.927121
      25 	       80 	       80 	 0.991001 	        1 	 8811.358011
      30 	       80 	       80 	 0.973750 	        1 	 8783.345053
      35 	       80 	       80 	 0.968076 	        1 	 8895.929180
      40 	       80 	       80 	 0.983586 	        1 	 8870.738146
      45 	       80 	       80 	 0.980532 	        1 	 9517.012788
      50 	       80 	       80 	 0.956045 	        1 	 10066.128667
      60 	       80 	       80 	 0.952789 	        1 	 9903.035385
      70 	       80 	       80 	 0.971142 	        2 	 10325.224804
      80 	       80 	       80 	 0.953134 	        2 	 10494.269571
      90 	       80 	       80 	 0.936748 	        1 	 10288.898332
     100 	       80 	       80 	 0.897006 	        1 	 10648.458081
     120 	       80 	       80 	 0.924446 	        2 	 12553.184612
     140 	       80 	       80 	 0.882909 	        1 	 11252.247235
     160 	       80 	       80 	 0.863027 	        1 	 11614.790794
     180 	       80 	       80 	 0.891985 	        2 	 14999.347487
     200 	       80 	       80 	 0.847285 	        1 	 12199.015781
