THREAD             spmv         spmv_mkl            spmtv        symm_spmv               gs             kacz
    1         2.047010         2.089434         2.027685         3.182736         2.068384         2.845058
    2         3.914680         4.028604         3.873508         6.113841         3.927264         5.485712
    3         5.590691         5.762503         5.702759         9.030399         5.787620         7.978402
    4         7.332946         7.557845         7.321146        11.509629         7.490630        10.312579
    5         8.816789         9.106773         8.974260        14.225239         9.051004        12.651423
    6        10.500941        10.773265        10.706931        16.882560        10.741065        15.097194
    7        11.854016        12.176245        12.101174        19.544173        12.080144        17.330746
    8        13.060920        13.405057        13.305490        21.335045        13.394532        19.077978
    9        14.086953        14.456210        14.369494        22.955880        14.402746        20.654719
   10        15.169243        15.541613        15.340103        24.791118        15.349741        22.685016
   11        16.020930        16.370320        16.079905        26.754215        16.009832        24.248767
   12        16.569164        16.897959        16.401791        27.530276        16.341767        25.062435
   13        17.139237        17.394863        16.809874        28.108795        16.797076        25.273500
   14        17.476344        17.750798        16.860684        29.462855        16.855558        26.380783
   15        17.629383        17.901517        17.831877        32.668315        17.748466        29.428784
   16        17.560179        17.805252        17.611140        32.097185        17.592163        29.994529
   17        17.652829        17.900590        17.393277        31.919088        17.415650        29.754023
   18        17.620504        17.858684        17.302120        32.322845        17.319603        30.506131
   19        17.563077        17.783755        17.058951        32.312712        17.171396        30.840369
   20        17.528434        17.746443        17.088114        32.785425        17.116873        31.324666
