THREAD             spmv         spmv_mkl            spmtv        symm_spmv               gs             kacz
    1         1.955525         1.997648         2.023908         3.241803         2.059666         2.832802
    2         3.806781         3.844440         3.833660         6.216341         3.885798         5.476570
    3         5.222135         5.340219         5.549965         8.914215         5.623250         7.858043
    4         6.717607         6.851262         7.301174        11.737973         7.436870        10.295183
    5         7.618173         7.775857         8.872280        14.044676         8.912465        12.462474
    6         8.397337         8.529080        10.527050        16.781674        10.495364        14.955221
    7         9.193614         9.353822        11.532231        18.918012        11.545807        16.590191
    8         9.768351         9.942933        13.008255        21.176281        13.134184        18.799591
    9        10.368307        10.538084        13.561386        22.134823        13.675794        19.570567
   10        10.741477        10.898059        14.705866        24.423754        14.752888        21.610221
   11        11.109064        11.301612        15.721253        26.592312        15.786679        23.735693
   12        11.209366        11.388315        16.100608        27.349240        16.084643        24.345298
   13        11.474374        11.653545        16.537999        28.322490        16.553422        24.704763
   14        11.760584        11.913817        16.441993        29.092738        16.529065        25.526535
   15        12.549956        12.691786        16.806837        29.880620        16.921261        27.134432
   16        13.268084        13.418742        16.678632        29.980842        16.758559        27.358828
   17        13.636289        13.858180        17.283186        31.733305        17.358655        29.084546
   18        13.853094        14.028293        16.982161        31.161243        17.031065        29.435103
   19        13.369772        13.505101        17.070740        31.603579        17.083862        30.377370
   20        14.376341        14.552154        16.804515        31.747830        16.854960        30.164386
