THREAD             spmv         spmv_mkl            spmtv        symm_spmv               gs             kacz
    1         1.720553         1.817504         1.895144         2.895562         1.801941         2.557296
    2         3.417819         3.563113         3.631318         5.371651         3.314760         4.720135
    3         4.911936         5.134695         5.262569         7.815294         5.019819         6.728002
    4         6.387460         6.685247         6.770701        10.186276         6.503538         8.670148
    5         7.669025         8.029865         8.250598        12.395393         7.861511        10.378052
    6         9.017518         9.522528         9.603462        14.593060         9.182052        13.759034
    7        10.232347        10.669585        10.775174        16.628383        10.287575        13.997743
    8        11.529193        12.002095        11.977160        18.478154        11.461377        15.562780
    9        12.320424        12.712493        12.724809        19.758133        12.289258        20.041986
   10        12.891337        13.303828        13.310609        20.686528        12.906866        22.128586
   11        13.192492        13.572081        13.630453        21.466558        13.244144        23.800395
   12        13.578063        13.981210        13.998913        22.066624        13.589099        24.772365
   13        13.813310        14.166644        14.285537        22.387412        13.907218        25.654630
   14        14.170121        14.558545        14.571203        23.057458        14.174522        26.372582
   15        14.337965        14.709214        14.786667        23.311293        14.317923        27.026241
   16        14.371587        14.771121        14.867981        23.434737        14.379319        27.428924
   17        14.551022        14.926687        15.040757        23.629684        14.585249        28.090878
   18        14.640059        14.981141        15.028423        23.784814        14.582528        28.323117
   19        14.627671        14.964599        15.068103        23.660227        14.580855        28.448407
   20        14.588926        14.906659        15.055706        23.540261        14.636623        28.339952
