THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.321358,         703.3069,               -1,               -1,               -1
    2,         0.619384,         736.4915,               -1,               -1,               -1
    3,         0.847410,         773.4049,               -1,               -1,               -1
    4,         1.115729,         800.9377,               -1,               -1,               -1
    5,         1.297718,         823.0426,               -1,               -1,               -1
    6,         1.589948,         823.5857,               -1,               -1,               -1
    7,         1.821817,         818.0737,               -1,               -1,               -1
    8,         2.028016,         808.6337,               -1,               -1,               -1
    9,         2.175796,         801.3874,               -1,               -1,               -1
   10,         2.293582,         794.0501,               -1,               -1,               -1
   11,         2.432987,         787.6398,               -1,               -1,               -1
   12,         2.477812,         782.3401,               -1,               -1,               -1
   13,         2.612350,         777.9803,               -1,               -1,               -1
   14,         2.662903,         779.4087,               -1,               -1,               -1
   15,         2.813841,         792.7751,               -1,               -1,               -1
   16,         2.825962,         772.9228,               -1,               -1,               -1
   17,         2.930709,         783.4464,               -1,               -1,               -1
   18,         2.952225,         775.1676,               -1,               -1,               -1
   19,         2.868183,         778.1618,               -1,               -1,               -1
   20,         2.945551,         783.1535,        1230.8044,        1372.2820,               -1
