Threads, Perf
 1, 1.267480 
 2, 2.369083 
 3, 3.406760 
 4, 4.245380 
 5, 5.016696 
 6, 5.692927 
 7, 6.252571 
 8, 7.416930 
 9, 8.235991 
 10, 7.950378 
 11, 10.154145 
 12, 11.224619 
 13, 11.582194 
 14, 12.123363 
 15, 12.848259 
 16, 13.620630 
 17, 15.021947 
 18, 14.233280 
 19, 16.412519 
 20, 16.414179 
