THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.253637,         718.1012,        1320.1851,        1421.7177,           0.2442
    2,         0.451311,         868.8865,        1329.0233,        1422.0069,         113.4315
    3,         0.568663,         976.7170,        1333.3729,        1421.3315,        1540.6191
    4,         0.700362,        1025.9063,        1336.4312,        1422.4501,        3026.8207
    5,         0.772508,        1060.0074,        1338.2767,        1426.0997,        6236.5717
    6,         0.828565,        1076.8426,        1339.3594,        1427.2456,        5284.1279
    7,         0.863619,        1081.0225,        1340.2104,        1428.9611,        4295.4964
    8,         0.884373,        1088.9281,        1341.1348,        1427.6964,        7580.7286
    9,         0.904595,        1088.4462,        1341.0504,        1429.3498,        8205.2076
   10,         0.926011,        1084.6275,        1340.9379,        1430.9642,       10717.4589
