THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.292475,         470.7206,         932.0796,        1014.5179,           0.2120
    2,         0.521249,         603.7983,         933.6501,        1012.9379,         128.2165
    3,         0.660127,         658.3437,         934.3930,        1012.3180,         440.2830
    4,         0.826083,         699.5807,         935.2437,        1012.6464,         600.5185
    5,         0.936139,         706.6138,         935.7115,        1013.4720,        1146.7154
    6,         1.069504,         730.7759,         936.0340,        1013.3619,        1387.9551
    7,         1.175518,         728.7847,         936.3265,        1014.7117,        2595.9793
    8,         1.246780,         725.7294,         936.7234,        1015.2647,        4002.4742
    9,         1.266130,         731.1788,         936.6672,        1015.9995,        4337.9929
   10,         1.299464,         735.6623,         936.6429,        1017.2450,        4726.8325
