  THREAD 	    eps_1 	    eps_2 	      Eff 	 maxDepth 	       Time
       1 	       80 	       80 	 1.000000 	        1 	 92964.210335
       2 	       80 	       80 	 0.979238 	        1 	 89681.387345
       3 	       80 	       80 	 0.972900 	        1 	 89248.579813
       4 	       80 	       80 	 0.969714 	        1 	 88511.539480
       5 	       80 	       80 	 0.978490 	        1 	 88326.828803
       6 	       80 	       80 	 0.973458 	        1 	 88849.642379
       7 	       80 	       80 	 0.957651 	        1 	 88348.754926
       8 	       80 	       80 	 0.947411 	        1 	 88441.767407
       9 	       80 	       80 	 0.959621 	        1 	 88054.594117
      10 	       80 	       80 	 0.944448 	        1 	 88106.808032
      11 	       80 	       80 	 0.921072 	        1 	 88490.228693
      12 	       80 	       80 	 0.914928 	        1 	 88100.251309
      13 	       80 	       80 	 0.910325 	        1 	 87895.312277
      14 	       80 	       80 	 0.892081 	        1 	 87980.771017
      15 	       80 	       80 	 0.934279 	        1 	 88199.439186
      16 	       80 	       80 	 0.913634 	        1 	 87971.516686
      17 	       80 	       80 	 0.907452 	        1 	 88082.047595
      18 	       80 	       80 	 0.893829 	        1 	 87871.411176
      19 	       80 	       80 	 0.868165 	        1 	 87816.533542
      20 	       80 	       80 	 0.871052 	        1 	 88033.051697
      25 	       80 	       80 	 0.878504 	        1 	 89824.017837
      30 	       80 	       80 	 0.833477 	        2 	 90828.853141
      35 	       80 	       80 	 0.835905 	        2 	 91736.930531
      40 	       80 	       80 	 0.831867 	        2 	 92831.475126
      45 	       80 	       80 	 0.836217 	        2 	 95159.294626
      50 	       80 	       80 	 0.825690 	        2 	 97342.009980
      60 	       80 	       80 	 0.799543 	        2 	 100635.019593
      70 	       80 	       80 	 0.764625 	        2 	 105819.776924
      80 	       80 	       80 	 0.718029 	        3 	 112474.664792
      90 	       80 	       80 	 0.697421 	        3 	 116465.079374
     100 	       80 	       80 	 0.650035 	        3 	 120596.823336
     120 	       80 	       80 	 0.673664 	        3 	 125814.566478
     140 	       80 	       80 	 0.560951 	        5 	 140486.196918
     160 	       80 	       80 	 0.509913 	        5 	 155821.116311
     180 	       80 	       80 	 0.527602 	        4 	 153751.321878
     200 	       80 	       80 	 0.386519 	        5 	 187306.194416
