THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.368513,          45.1642,          65.3317,          72.0850,           0.0227
    2,         0.705355,          43.9026,          65.5010,          72.1231,          18.9392
    3,         1.018567,          43.4419,          65.5489,          72.2619,          59.4671
    4,         1.320862,          42.8123,          65.6529,          72.2722,          85.9874
    5,         1.602931,          42.2410,          65.8130,          72.4169,         100.4317
    6,         1.850782,          41.7962,          65.8977,          72.4742,          95.2766
    7,         2.084079,          41.2956,          65.9868,          72.5753,         213.7953
    8,         2.233878,          41.6171,          65.9459,          72.5634,         177.3221
    9,         2.368036,          41.0141,          66.1432,          72.6557,         252.0293
   10,         2.408156,          40.2581,          66.0917,          72.6902,         250.7203
