THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.399184,          31.6619,          43.8782,          49.2264,           0.0197
    2,         0.825269,          31.1308,          43.8680,          48.9118,           3.4014
    3,         1.159631,          31.0292,          43.9239,          48.9439,          11.1924
    4,         1.546186,          30.8279,          43.9515,          49.0052,          13.5125
    5,         1.867647,          30.8825,          43.9989,          49.2791,          36.1901
    6,         2.148602,          30.7724,          44.0813,          49.3072,          26.0264
    7,         2.371446,          30.9775,          44.0452,          49.3091,         271.2178
    8,         2.674402,          30.5030,          44.0582,          49.0531,          35.5747
    9,         2.858390,          30.5752,          44.0675,          49.1803,         151.3860
   10,         2.877678,          30.5208,          44.0941,          49.1861,         106.6341
