THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.408494,          34.9608,          45.8105,          48.3605,           0.0263
    2,         0.832283,          31.5077,          45.8175,          48.3767,           1.0384
    3,         1.162708,          32.1857,          45.8245,          48.3864,           1.0283
    4,         1.551725,          29.7802,          45.7735,          48.3789,           0.8973
    5,         1.889204,          27.6830,          45.7417,          48.4045,           0.8339
    6,         2.342231,          28.2935,          45.6623,          48.2988,           0.6008
    7,         2.632146,          28.7787,          45.7095,          48.3955,           0.7345
    8,         2.783799,          28.4412,          45.7144,          48.3933,           0.3795
    9,         2.896869,          29.0871,          45.8045,          48.3956,           0.6717
   10,         3.059148,          27.7909,          45.7790,          48.3932,           1.0480
