THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.132875,         208.7932,               -1,               -1,               -1
    2,         2.197037,         218.5079,               -1,               -1,               -1
    3,         3.114519,         222.2841,               -1,               -1,               -1
    4,         4.020988,         224.9017,               -1,               -1,               -1
    5,         4.770284,         226.9484,               -1,               -1,               -1
    6,         5.232466,         228.6927,               -1,               -1,               -1
    7,         5.409322,         230.1088,               -1,               -1,               -1
    8,         5.500545,         231.2415,               -1,               -1,               -1
    9,         5.517564,         232.2341,               -1,               -1,               -1
   10,         5.493634,         233.1528,         249.7545,         265.5022,           5.0896
