THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.476002,         364.6453,               -1,               -1,               -1
    2,         0.877230,         374.0847,               -1,               -1,               -1
    3,         1.218297,         375.0290,               -1,               -1,               -1
    4,         1.682754,         373.2965,               -1,               -1,               -1
    5,         2.066014,         371.6803,               -1,               -1,               -1
    6,         2.444217,         369.3262,               -1,               -1,               -1
    7,         2.842706,         368.0953,               -1,               -1,               -1
    8,         2.904514,         366.9496,               -1,               -1,               -1
    9,         3.472264,         364.9237,               -1,               -1,               -1
   10,         3.829095,         363.5022,               -1,               -1,               -1
   11,         4.186615,         362.3280,               -1,               -1,               -1
   12,         4.468261,         362.5387,               -1,               -1,               -1
   13,         4.710261,         360.2811,               -1,               -1,               -1
   14,         5.055284,         360.0335,               -1,               -1,               -1
   15,         5.272771,         359.2437,               -1,               -1,               -1
   16,         5.508356,         359.7032,               -1,               -1,               -1
   17,         5.398558,         359.3752,               -1,               -1,               -1
   18,         5.954282,         362.9119,               -1,               -1,               -1
   19,         6.135601,         361.5026,               -1,               -1,               -1
   20,         6.246127,         361.8600,         801.3616,         485.3737,               -1
