Threads, Perf
 1, 1.267827 
 2, 2.368706 
 3, 3.411030 
 4, 4.244480 
 5, 5.077762 
 6, 6.594209 
 7, 7.299842 
 8, 7.699198 
 9, 8.990859 
 10, 9.274882 
 11, 9.613136 
 12, 11.157497 
 13, 12.339565 
 14, 12.016885 
 15, 13.153825 
 16, 13.736018 
 17, 13.749756 
 18, 14.614585 
 19, 15.682206 
 20, 15.403729 
