THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.292557,         459.7076,               -1,               -1,               -1
    2,         0.518904,         404.6769,               -1,               -1,               -1
    3,         0.715640,         355.3043,               -1,               -1,               -1
    4,         0.871115,         376.8913,               -1,               -1,               -1
    5,         1.031547,         357.5648,               -1,               -1,               -1
    6,         1.173857,         395.9186,               -1,               -1,               -1
    7,         1.245036,         453.1345,               -1,               -1,               -1
    8,         1.379346,         433.1412,               -1,               -1,               -1
    9,         1.486949,         441.4965,               -1,               -1,               -1
   10,         1.572151,         471.6330,         694.3743,         779.4257,          11.0594
