Threads, Perf
 1, 0.667139 
 2, 1.313983 
 3, 1.947483 
 4, 2.584606 
 5, 3.202284 
 6, 3.832988 
 7, 4.453400 
 8, 5.091347 
 9, 5.648298 
 10, 6.248021 
 11, 6.889349 
 12, 7.367042 
 13, 7.979337 
 14, 8.591505 
 15, 9.110039 
 16, 9.663418 
 17, 10.044546 
 18, 10.459556 
 19, 10.879022 
 20, 11.310232 
