Threads, Perf
 1, 0.850326 
 2, 1.661936 
 3, 2.438574 
 4, 3.206469 
 5, 3.950639 
 6, 4.674061 
 7, 5.465454 
 8, 6.175541 
 9, 6.896906 
 10, 7.702724 
 11, 8.344552 
 12, 9.019973 
 13, 9.664470 
 14, 10.105540 
 15, 10.539624 
 16, 11.239864 
 17, 11.522896 
 18, 11.829482 
 19, 12.117326 
 20, 12.301110 
