THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.579445,         219.1120,               -1,               -1,               -1
    2,         3.186990,         219.8952,               -1,               -1,               -1
    3,         4.045069,         221.3725,               -1,               -1,               -1
    4,         6.042656,         222.3911,               -1,               -1,               -1
    5,         7.334436,         223.6287,               -1,               -1,               -1
    6,         8.810662,         224.6237,               -1,               -1,               -1
    7,         9.920978,         225.5774,               -1,               -1,               -1
    8,         9.907914,         226.6244,               -1,               -1,               -1
    9,        11.969449,         227.5773,               -1,               -1,               -1
   10,        12.537910,         228.3368,               -1,               -1,               -1
   11,        12.896435,         229.2361,               -1,               -1,               -1
   12,        13.173021,         229.8499,               -1,               -1,               -1
   13,        12.790809,         230.4821,               -1,               -1,               -1
   14,        13.450115,         231.2686,               -1,               -1,               -1
   15,        12.142506,         230.9600,               -1,               -1,               -1
   16,        12.944764,         230.9915,               -1,               -1,               -1
   17,        13.223935,         230.0523,               -1,               -1,               -1
   18,        13.668786,         229.1539,               -1,               -1,               -1
   19,        12.776445,         230.0023,               -1,               -1,               -1
   20,        13.555223,         230.8397,         442.1837,         271.5556,               -1
